Date,sample_id,Species,box,Chamber.Channel,Channel,Bin,Run,Temp.Cat,Treatment,Chamber.Vol.L,Notes
20240708,MD_4_20,,2,5,1,1,3,27,acclimation,0.6,
20240708,DL_4_25,,2,6,2,1,3,27,acclimation,0.6,
20240708,MD_4_26,,2,7,3,2,3,27,acclimation,0.6,
20240708,DL_1_14,,2,8,4,2,3,27,acclimation,0.6,
20240708,MD_1_19,,3,9,1,2,3,27,acclimation,0.6,
20240708,DL_1_20,,3,10,2,2,3,27,acclimation,0.6,
20240708,DL_1_10,,3,11,3,2,3,27,acclimation,0.6,
20240708,DL_4_20,,3,12,4,2,3,27,acclimation,0.6,
20240708,BLANK_4,,1,1,1,1,4,27,acclimation,0.6,
20240708,MD_2_31,,1,2,2,1,4,27,acclimation,0.6,
20240708,DL_4_19,,1,3,3,1,4,27,acclimation,0.6,
20240708,DL_3_14,,1,4,4,1,4,27,acclimation,0.6,
20240708,MD_4_15,,2,5,1,1,4,27,acclimation,0.6,
20240708,MD_4_23,,2,6,2,1,4,27,acclimation,0.6,
20240708,DL_3_17,,2,7,3,2,4,27,acclimation,0.6,
20240708,DL_2_2,,2,8,4,2,4,27,acclimation,0.6,
20240708,MD_5_9,,3,9,1,2,4,27,acclimation,0.6,
20240708,MD_1_3,,3,10,2,2,4,27,acclimation,0.6,
20240708,MD_2_6,,3,11,3,2,4,27,acclimation,0.6,
20240708,MD_1_6,,3,12,4,2,4,27,acclimation,0.6,
20240708,DL_3_23,,1,1,1,1,5,27,acclimation,0.6,
20240708,MD_5_16,,1,2,2,1,5,27,acclimation,0.6,
20240708,DL_3_24,,1,3,3,1,5,27,acclimation,0.6,
20240708,DL_4_12,,1,4,4,1,5,27,acclimation,0.6,
20240708,BLANK_5,,2,5,1,1,5,27,acclimation,0.6,
20240708,MD_1_1,,2,6,2,1,5,27,acclimation,0.6,
20240708,DL_2_12,,2,7,3,2,5,27,acclimation,0.6,
20240708,MD_1_21,,2,8,4,2,5,27,acclimation,0.6,
20240708,DL_2_20,,3,9,1,2,5,27,acclimation,0.6,
20240708,MD_2_16,,3,10,2,2,5,27,acclimation,0.6,
20240708,MD_2_23,,3,11,3,2,5,27,acclimation,0.6,
20240708,DL_3_15,,3,12,4,2,5,27,acclimation,0.6,
20240708,MD_2_8,,1,1,1,1,6,27,acclimation,0.6,
20240708,MD_5_25,,1,2,2,1,6,27,acclimation,0.6,
20240708,MD_2_13,,1,3,3,1,6,27,acclimation,0.6,
20240708,DL_3_8,,1,4,4,1,6,27,acclimation,0.6,
20240708,MD_1_24,,2,5,1,1,6,27,acclimation,0.6,
20240708,MD_5_13,,2,6,2,1,6,27,acclimation,0.6,
20240708,MD_1_26,,2,7,3,2,6,27,acclimation,0.6,
20240708,MD_5_2,,2,8,4,2,6,27,acclimation,0.6,
20240708,BLANK_6,,3,9,1,2,6,27,acclimation,0.6,
20240708,DL_2_22,,3,10,2,2,6,27,acclimation,0.6,
20240708,DL _2_16,,3,11,3,2,6,27,acclimation,0.6,
20240708,DL_4_10,,3,12,4,2,6,27,acclimation,0.6,
20240708,MD_5_12,,1,1,1,1,7,27,acclimation,0.6,
20240708,md_2_5,,1,2,2,1,7,27,acclimation,0.6,
20240708,DL_4_17,,1,3,3,1,7,27,acclimation,0.6,
20240708,MD_1_23,,1,4,4,1,7,27,acclimation,0.6,
20240708,MD_5_14,,2,5,1,1,7,27,acclimation,0.6,
20240708,DL_3_26,,2,6,2,1,7,27,acclimation,0.6,
20240708,MD_4_12,,2,7,3,2,7,27,acclimation,0.6,
20240708,MD_1_25,,2,8,4,2,7,27,acclimation,0.6,
20240708,MD_1_9,,3,9,1,2,7,27,acclimation,0.6,
20240708,DL_1_9,,3,10,2,2,7,27,acclimation,0.6,
20240708,BLANK_7,,3,11,3,2,7,27,acclimation,0.6,
20240708,MD_5_1,,3,12,4,2,7,27,acclimation,0.6,
20240708,DL_1_24,,1,1,1,1,8,27,acclimation,0.6,
20240708,DL_2_21,,1,2,2,1,8,27,acclimation,0.6,
20240708,BLANK_8,,1,3,3,1,8,27,acclimation,0.6,
20240708,DL_1_5,,1,4,4,1,8,27,acclimation,0.6,
20240708,MD_4_9,,2,5,1,1,8,27,acclimation,0.6,
20240708,DL_1_16,,2,6,2,1,8,27,acclimation,0.6,
20240708,DL_2_23,,2,7,3,2,8,27,acclimation,0.6,
20240708,DL_4_24,,2,8,4,2,8,27,acclimation,0.6,
20240708,MD_4_4,,3,9,1,2,8,27,acclimation,0.6,
20240708,DL_1_25,,3,10,2,2,8,27,acclimation,0.6,
20240708,MD_4_5,,3,11,3,2,8,27,acclimation,0.6,
20240708,MD_4_10,,3,12,4,2,8,27,acclimation,0.6,
20240708,MD_5_24,,1,1,1,1,9,27,acclimation,0.6,
20240708,DL_2_9,,1,2,2,1,9,27,acclimation,0.6,
20240708,BLANK_9,,1,3,3,1,9,27,acclimation,0.6,
20240708,DL_2_15,,1,4,4,1,9,27,acclimation,0.6,
20240708,DL_1_3,,2,5,1,1,9,27,acclimation,0.6,
20240708,DL_3_1,,2,6,2,1,9,27,acclimation,0.6,
20240708,MD_4_21,,2,7,3,2,9,27,acclimation,0.6,
20240708,MD_1_2,,2,8,4,2,9,27,acclimation,0.6,
20240708,DL_2_17,,3,9,1,2,9,27,acclimation,0.6,
20240708,DL_3_16,,3,10,2,2,9,27,acclimation,0.6,
20240708,MD_1_5,,3,11,3,2,9,27,acclimation,0.6,
20240708,MD_5_3,,3,12,4,2,9,27,acclimation,0.6,
20240708,DL_2_18,,1,1,1,1,10,27,acclimation,0.6,
20240708,MD_2_26,,1,2,2,1,10,27,acclimation,0.6,
20240708,MD_2_20,,1,3,3,1,10,27,acclimation,0.6,
20240708,DL_1_2,,1,4,4,1,10,27,acclimation,0.6,
20240708,MD_2_12,,2,5,1,1,10,27,acclimation,0.6,
20240708,MD_2_11,,2,6,2,1,10,27,acclimation,0.6,
20240708,DL_2_6,,2,7,3,2,10,27,acclimation,0.6,
20240708,MD_2_15,,2,8,4,2,10,27,acclimation,0.6,
20240708,BLANK_10,,3,9,1,2,10,27,acclimation,0.6,
20240709,DL_1_15,,1,1,1,1,11,27,acclimation,0.6,
20240709,DL_2_1,,1,2,2,1,11,27,acclimation,0.6,
20240709,MD_5_4,,1,3,3,1,11,27,acclimation,0.6,
20240709,DL_4_1,,1,4,4,1,11,27,acclimation,0.6,
20240709,MD_2_1,,2,5,1,1,11,27,acclimation,0.6,
20240709,DL_3_3,,2,6,2,1,11,27,acclimation,0.6,
20240709,MD_1_10,,2,7,3,2,11,27,acclimation,0.6,
20240709,MD_1_8,,2,8,4,2,11,27,acclimation,0.6,
20240709,DL_3_4,,3,9,1,2,11,27,acclimation,0.6,
20240709,DL_2_3,,3,10,2,2,11,27,acclimation,0.6,
20240709,MD_4_2,,3,11,3,2,11,27,acclimation,0.6,
20240709,BLANK_11,,3,12,4,2,11,27,acclimation,0.6,
20240709,BLANK_12,,1,1,1,1,12,27,acclimation,0.6,
20240709,DL_1_1,,1,2,2,1,12,27,acclimation,0.6,
20240709,MD_1_7,,1,3,3,1,12,27,acclimation,0.6,
20240709,MD_2_2,,1,4,4,1,12,27,acclimation,0.6,
20240709,DL_2_5,,2,5,1,1,12,27,acclimation,0.6,
20240709,DL_3_5,,2,6,2,1,12,27,acclimation,0.6,
20240709,DL_4_2,,2,7,3,2,12,27,acclimation,0.6,
20240709,MD_4_3,,2,8,4,2,12,27,acclimation,0.6,
20240709,MD_5_5,,3,9,1,2,12,27,acclimation,0.6,
20240709,MD_2_4,,3,10,2,2,12,27,acclimation,0.6,
20240709,DL_1_6,,3,11,3,2,12,27,acclimation,0.6,
20240709,DL_2_7,,3,12,4,2,12,27,acclimation,0.6,
20240709,MD_1_4,,1,1,1,1,13,27,acclimation,0.6,
20240709,DL_1_17,,1,2,2,1,13,27,acclimation,0.6,
20240709,MD_1_20,,1,3,3,1,13,27,acclimation,0.6,
20240709,MD_2_10,,1,4,4,1,13,27,acclimation,0.6,
20240709,DL_3_7,,2,5,1,1,13,27,acclimation,0.6,
20240709,DL_3_6,,2,6,2,1,13,27,acclimation,0.6,
20240709,BLANK_13,,2,7,3,2,13,27,acclimation,0.6,
20240709,DL_4_3,,2,8,4,2,13,27,acclimation,0.6,
20240709,MD_5_6,,3,9,1,2,13,27,acclimation,0.6,
20240709,MD_4_7,,3,10,2,2,13,27,acclimation,0.6,
20240709,DL_2_11,,3,11,3,2,13,27,acclimation,0.6,
20240709,DL_4_4,,3,12,4,2,13,27,acclimation,0.6,
20240709,MD_1_12,,1,1,1,1,14,27,acclimation,0.6,
20240709,DL_4_5,,1,2,2,1,14,27,acclimation,0.6,
20240709,MD_5_8,,1,3,3,1,14,27,acclimation,0.6,
20240709,MD_2_9,,1,4,4,1,14,27,acclimation,0.6,
20240709,BLANK_14,,2,5,1,1,14,27,acclimation,0.6,
20240709,DL_1_7,,2,6,2,1,14,27,acclimation,0.6,
20240709,DL_2_10,,2,7,3,2,14,27,acclimation,0.6,
20240709,MD_4_8,,2,8,4,2,14,27,acclimation,0.6,
20240709,DL_1_19,,3,9,1,2,14,27,acclimation,0.6,
20240709,DL_2_21,,3,10,2,2,14,27,acclimation,0.6,
20240709,MD_5_11,,3,11,3,2,14,27,acclimation,0.6,
20240709,MD_4_14,,3,12,4,2,14,27,acclimation,0.6,
,DL_1_21,,1,1,1,1,15,27,acclimation,0.6,
,MD_5_21,,1,2,2,1,15,27,acclimation,0.6,
,MD_2_18,,1,3,3,1,15,27,acclimation,0.6,
,DL_4_15,,1,4,4,1,15,27,acclimation,0.6,
,DL_1_11,,2,5,1,1,15,27,acclimation,0.6,
,MD_2_17,,2,6,2,1,15,27,acclimation,0.6,
,MD_4_16,,2,7,3,2,15,27,acclimation,0.6,
,BLANK_15,,2,8,4,2,15,27,acclimation,0.6,
,DL_3_9,,3,9,1,2,15,27,acclimation,0.6,
,DL_2_13,,3,10,2,2,15,27,acclimation,0.6,
,MD_5_15,,3,11,3,2,15,27,acclimation,0.6,
,MD_4_17,,3,12,4,2,15,27,acclimation,0.6,
,MD_1_13,,1,1,1,1,16,27,acclimation,0.6,
,BLANK_16,,1,2,2,1,16,27,acclimation,0.6,
,MD_4_19,,1,3,3,1,16,27,acclimation,0.6,
,DL_1_8,,1,4,4,1,16,27,acclimation,0.6,
,DL_3_10,,2,5,1,1,16,27,acclimation,0.6,
,MD_5_17,,2,6,2,1,16,27,acclimation,0.6,
,MD_2_25,,2,7,3,2,16,27,acclimation,0.6,
,DL_1_12,,2,8,4,2,16,27,acclimation,0.6,
,DL_3_12,,3,9,1,2,16,27,acclimation,0.6,
,DL_4_7,,3,10,2,2,16,27,acclimation,0.6,
,DL_4_9,,3,11,3,2,16,27,acclimation,0.6,
,MD_1_14,,3,12,4,2,16,27,acclimation,0.6,
,DL_1_23,,1,1,1,1,17,27,acclimation,0.6,
,DL_4_11,,1,2,2,1,17,27,acclimation,0.6,
,MD_5_18,,1,3,3,1,17,27,acclimation,0.6,
,MD_2_19,,1,4,4,1,17,27,acclimation,0.6,
,DL_3_19,,2,5,1,1,17,27,acclimation,0.6,
,DL_3_13,,2,6,2,1,17,27,acclimation,0.6,
,BLANK_17,,2,7,3,2,17,27,acclimation,0.6,
,DL_2_14,,2,8,4,2,17,27,acclimation,0.6,
,MD_4_22,,3,9,1,2,17,27,acclimation,0.6,
,MD_1_15,,3,10,2,2,17,27,acclimation,0.6,
,DL_2_19,,3,11,3,2,17,27,acclimation,0.6,
,MD_2_22,,3,12,4,2,17,27,acclimation,0.6,
,DL_1_13,,1,1,1,1,18,27,acclimation,0.6,
,MD_4_24,,1,2,2,1,18,27,acclimation,0.6,
,DL_3_20,,1,3,3,1,18,27,acclimation,0.6,
,MD_4_25,,1,4,4,1,18,27,acclimation,0.6,
,DL_2_24,,2,5,1,1,18,27,acclimation,0.6,
,MD_5_20,,2,6,2,1,18,27,acclimation,0.6,
,DL_1_22,,2,7,3,2,18,27,acclimation,0.6,
,MD_2_22,,2,8,4,2,18,27,acclimation,0.6,
,BLANK_18,,3,9,1,2,18,27,acclimation,0.6,
,DL_3_22,,3,10,2,2,18,27,acclimation,0.6,
,MD_1_16,,3,11,3,2,18,27,acclimation,0.6,
,DL_4_13,,3,12,4,2,18,27,acclimation,0.6,
,DL_4_16,,,,,,19,27,acclimation,0.6,
,DL_4_14,,,,,,,27,acclimation,,
,MD_2_36,,,,,,,27,acclimation,,
,DL_3_25,,,,,,,27,acclimation,,
,DL_1_26,,,,,,,27,acclimation,,
,MD_2_3,,,,,,,27,acclimation,,
,DL_4_22,,,,,,,27,acclimation,,
,MD_1_18,,,,,,,27,acclimation,,
,DL_2_25,,,,,,,27,acclimation,,
,DL_4_18,,,,,,,27,acclimation,,
,MD_5_23,,,,,,,27,acclimation,,
,,,,,,,,27,acclimation,,
,,,,,,,,27,acclimation,,
,,,,,,,,27,acclimation,,
,,,,,,,,27,acclimation,,
,,,,,,,,27,acclimation,,
,,,,,,,,27,acclimation,,
,,,,,,,,27,acclimation,,
,,,,,,,,27,acclimation,,
,,,,,,,,27,acclimation,,
,,,,,,,,27,acclimation,,
,,,,,,,,27,acclimation,,
,,,,,,,,27,acclimation,,
,,,,,,,,27,acclimation,,
,,,,,,,,27,acclimation,,
