"","Species","DateMeasured","Treatment","Tank","Fv.Fm_Mean","Fv.Fm_SE"
"31","Diploria labyrinthiformis",20240809,"Control","4",0.5815,0.0082469330417579
"32","Diploria labyrinthiformis",20240809,"Control","5",0.565666666625,0.00511688770695191
"33","Diploria labyrinthiformis",20240809,"High Heat","6",0.568916666625,0.00945241844415769
"34","Diploria labyrinthiformis",20240809,"Low pH","2",0.543791666625,0.0240402223152319
"35","Diploria labyrinthiformis",20240809,"Low pH","3",0.568166666625,0.0103135371187003
"36","Diploria labyrinthiformis",20240815,"Control","4",0.541416666625,0.0108793436184566
"37","Diploria labyrinthiformis",20240815,"Control","5",0.589666666625,0.00524593571177378
"38","Diploria labyrinthiformis",20240815,"High Heat","6",0.538208333375,0.00951918238147612
"39","Diploria labyrinthiformis",20240815,"High Heat","7",0.6155,0.00441857556906338
"40","Diploria labyrinthiformis",20240815,"Low pH","2",0.545166666625,0.00803958460426452
"41","Diploria labyrinthiformis",20240815,"Low pH","3",0.600500000125,0.00668628064376767
"42","Madracis decactis",20240702,"Acclimation","Acclimation",0.580521739130435,0.00729140684670038
"43","Madracis decactis",20240705,"Acclimation","Acclimation",0.577221153855769,0.00358385682745371
"44","Madracis decactis",20240719,"Control","4",0.4809583335,0.0135131383821274
"45","Madracis decactis",20240719,"Control","5",0.472875,0.0153924761731849
"46","Madracis decactis",20240719,"High Heat","6",0.472416666625,0.0112210385577487
"47","Madracis decactis",20240719,"High Heat","7",0.415714285714286,0.00795005186713258
"48","Madracis decactis",20240719,"Low pH","2",0.474791666625,0.0141954801548551
"49","Madracis decactis",20240719,"Low pH","3",0.452500000125,0.0166430785267396
"50","Madracis decactis",20240723,"Control","4",0.500250000125,0.0123258906485801
"51","Madracis decactis",20240723,"High Heat","6",0.479875,0.0105115087602431
"52","Madracis decactis",20240723,"High Heat","7",0.481374999875,0.0113673225026156
"53","Madracis decactis",20240726,"Control","4",0.5080833335,0.0131700945337449
"54","Madracis decactis",20240726,"Control","5",0.471458333375,0.0166134791834184
"55","Madracis decactis",20240726,"High Heat","6",0.438999999875,0.0262599942615203
"56","Madracis decactis",20240726,"High Heat","7",0.47654166675,0.0172011832111657
"57","Madracis decactis",20240726,"Low pH","2",0.51008333325,0.0128877556022102
"58","Madracis decactis",20240726,"Low pH","3",0.484124999875,0.0110935662763012
"59","Madracis decactis",20240730,"Control","4",0.4605416665,0.0159129499087882
"60","Madracis decactis",20240730,"Control","5",0.477500000125,0.0258261894876957
"61","Madracis decactis",20240730,"High Heat","6",0.51329166675,0.0100288151035875
"62","Madracis decactis",20240730,"High Heat","7",0.498374999875,0.0171256372557107
"63","Madracis decactis",20240730,"Low pH","2",0.530370370444444,0.0109996414732849
"64","Madracis decactis",20240730,"Low pH","3",0.483083333375,0.0218251302617751
"65","Madracis decactis",20240807,"Control","4",0.5064583335,0.0103791108951685
"66","Madracis decactis",20240807,"Control","5",0.49308333325,0.0118692864299063
"67","Madracis decactis",20240807,"High Heat","6",0.528125,0.0141181153244154
"68","Madracis decactis",20240807,"High Heat","7",0.5169583335,0.00743928800876676
"69","Madracis decactis",20240807,"Low pH","2",0.51675,0.0192555650728253
"70","Madracis decactis",20240807,"Low pH","3",0.509291666625,0.0198707567792387
"71","Madracis decactis",20240809,"Control","4",0.514,0.00919799833577505
"72","Madracis decactis",20240809,"Control","5",0.5159583335,0.0089700643136862
"73","Madracis decactis",20240809,"High Heat","6",0.520791666625,0.0135986894259948
"74","Madracis decactis",20240809,"Low pH","2",0.51854166675,0.0118487387698234
"75","Madracis decactis",20240809,"Low pH","3",0.518208333375,0.00671025557061105
"76","Madracis decactis",20240815,"Control","4",0.491809523714286,0.0116350721597466
"77","Madracis decactis",20240815,"Control","5",0.5573333335,0.0071691579324435
"78","Madracis decactis",20240815,"High Heat","6",0.492291666625,0.0165916690654222
"79","Madracis decactis",20240815,"High Heat","7",0.575499999875,0.00575663870367792
"80","Madracis decactis",20240815,"Low pH","2",0.51154166675,0.00707778143254964
"81","Madracis decactis",20240815,"Low pH","3",0.55408333325,0.0153568336277191
