sample-id,Date,Species,box,Chamber.Channel,Channel,Bin,Run,Temp.Cat,Tank,Treatment,Chamber.Vol.L,Notes
DL-1-24,20240723,Diploria labyrinthiformis,2,5,1,1,8,27,5,Control,0.626,
DL-1-3,20240722,Diploria labyrinthiformis,3,11,3,2,6,27,7,Heat,0.626,
DL-1-3,20240723,Diploria labyrinthiformis,3,10,10,2,12,27,7,Heat,0.626,
DL-1-7,20240723,Diploria labyrinthiformis,1,3,3,1,7,27,4,Control,0.63,
DL-1-8,20240722,Diploria labyrinthiformis,1,2,2,1,2,27,5,Control,0.626,
DL-1-9,20240722,Diploria labyrinthiformis,1,2,2,1,5,27,6,Heat,0.633,
DL-2-10,20240723,Diploria labyrinthiformis,1,2,2,1,11,27,6,Heat,0.635,
DL-2-11,20240723,Diploria labyrinthiformis,3,10,2,2,8,27,5,Control,0.63,
DL-2-12,20240722,Diploria labyrinthiformis,1,3,3,1,6,27,7,Heat,0.625,
DL-2-14,20240723,Diploria labyrinthiformis,1,3,3,1,7,27,4,Control,0.63,
DL-2-15,20240722,Diploria labyrinthiformis,3,10,2,2,5,27,6,Heat,0.627,
DL-2-18,20240722,Diploria labyrinthiformis,1,1,1,1,1,27,4,Control,0.635,
DL-2-19,20240723,Diploria labyrinthiformis,2,7,7,2,10,27,2,pH,0.635,
DL-2-20,20240723,Diploria labyrinthiformis,1,1,1,1,9,27,3,pH,0.635,
DL-2-21,20240722,Diploria labyrinthiformis,1,1,1,1,3,27,2,pH,0.63,
DL-2-22,20240722,Diploria labyrinthiformis,3,12,4,2,6,27,7,Heat,0.635,
DL-2-22,20240723,Diploria labyrinthiformis,2,5,5,1,12,27,7,Heat,0.635,
DL-2-23,20240722,Diploria labyrinthiformis,2,8,4,2,6,27,7,Heat,0.634,
DL-2-25,20240722,Diploria labyrinthiformis,2,8,4,2,2,27,5,Control,0.63,
DL-2-26,20240722,Diploria labyrinthiformis,3,12,4,2,2,27,5,Control,0.634,
DL-2-3,20240723,Diploria labyrinthiformis,2,8,4,2,9,27,3,pH,0.635,
DL-2-5,20240722,Diploria labyrinthiformis,1,4,4,1,4,27,3,pH,0.618,
DL-2-8,20240723,Diploria labyrinthiformis,1,1,1,1,10,27,2,pH,0.636,
DL-2-9,20240722,Diploria labyrinthiformis,2,5,1,1,2,27,5,Control,0.635,
DL-3-10,20240723,Diploria labyrinthiformis,1,4,4,1,12,27,7,Heat,0.638,
DL-3-11,20240722,Diploria labyrinthiformis,1,3,3,1,3,27,2,pH,0.63,
DL-3-12,20240722,Diploria labyrinthiformis,3,12,4,2,3,27,2,pH,0.635,
DL-3-13,20240722,Diploria labyrinthiformis,2,7,3,2,6,27,7,Heat,0.635,
DL-3-15,20240722,Diploria labyrinthiformis,1,1,1,1,2,27,5,Control,0.625,
DL-3-16,20240723,Diploria labyrinthiformis,1,3,3,1,10,27,2,pH,0.634,
DL-3-17,20240723,Diploria labyrinthiformis,2,5,1,1,9,27,3,pH,0.631,
DL-3-18,20240722,Diploria labyrinthiformis,3,11,3,2,4,27,3,pH,0.636,
DL-3-19,20240723,Diploria labyrinthiformis,2,6,2,1,7,27,4,Control,0.633,
DL-3-2,20240723,Diploria labyrinthiformis,1,3,3,1,12,27,7,Heat,0.634,
DL-3-24,20240723,Diploria labyrinthiformis,1,1,1,1,8,27,5,Control,0.627,BATTERIES START TO SLOW DOWN
DL-3-25,20240722,Diploria labyrinthiformis,2,5,1,1,4,27,3,pH,0.634,
DL-3-26,20240722,Diploria labyrinthiformis,3,11,3,2,5,27,6,Heat,0.63,
DL-3-5,20240723,Diploria labyrinthiformis,3,9,9,2,11,27,6,Heat,0.64,
DL-3-6,20240722,Diploria labyrinthiformis,1,2,2,1,1,27,4,Control,0.632,
DL-4-1,20240722,Diploria labyrinthiformis,2,6,2,1,1,27,4,Control,0.61,
DL-4-11,20240722,Diploria labyrinthiformis,3,9,1,2,3,27,2,pH,0.625,
DL-4-13,20240722,Diploria labyrinthiformis,2,7,3,2,5,27,6,Heat,0.633,
DL-4-14,20240722,Diploria labyrinthiformis,2,6,2,1,3,27,2,pH,0.633,
DL-4-16,20240722,Diploria labyrinthiformis,1,1,1,1,6,27,7,Heat,0.626,
DL-4-17,20240723,Diploria labyrinthiformis,1,4,4,1,10,27,2,pH,0.615,
DL-4-18,20240723,Diploria labyrinthiformis,3,10,2,2,7,27,4,Control,0.628,
DL-4-19,20240723,Madracis decactis,3,9,9,2,12,27,7,Heat,0.63,
DL-4-20,20240723,Diploria labyrinthiformis,1,1,1,1,11,27,6,Heat,0.625,
DL-4-21,20240723,Diploria labyrinthiformis,3,9,1,2,8,27,5,Control,0.631,"Data added to DL_1_7 file, renamed file to DL-4-21"
DL-4-22,20240723,Diploria labyrinthiformis,3,12,4,2,9,27,3,pH,0.625,
DL-4-24,20240723,Diploria labyrinthiformis,1,2,2,1,10,27,2,pH,0.617,
DL-4-26,20240722,Diploria labyrinthiformis,1,1,1,1,4,27,3,pH,0.635,
DL-4-3,20240723,Diploria labyrinthiformis,1,4,4,1,8,27,5,Control,0.625,
DL-4-4,20240722,Diploria labyrinthiformis,1,4,4,1,2,27,5,Control,0.635,
DL-4-7,20240722,Diploria labyrinthiformis,3,9,1,2,1,27,4,Control,0.625,
DL-4-9,20240722,Diploria labyrinthiformis,1,1,1,1,5,27,6,Heat,0.62,
MD-1-10,20240723,Madracis decactis,1,2,2,1,9,27,3,pH,0.636,
MD-1-11,20240722,Madracis decactis,1,2,2,1,4,27,3,pH,0.644,
MD-1-12,20240723,Madracis decactis,1,2,2,1,12,27,7,Heat,0.635,
MD-1-13,20240722,Madracis decactis,3,9,1,2,4,27,3,pH,0.64,
MD-1-15,20240722,Madracis decactis,2,5,1,1,5,27,6,Heat,0.637,
MD-1-16,20240723,Madracis decactis,3,10,10,2,11,27,6,Heat,0.635,
MD-1-17,20240723,Madracis decactis,3,12,12,2,11,27,6,Heat,0.642,
MD-1-18,20240723,Madracis decactis,3,9,1,2,9,27,3,pH,0.636,
MD-1-19,20240722,Madracis decactis,2,7,3,2,2,27,5,Control,0.644,
MD-1-2,20240723,Madracis decactis,3,11,3,2,7,27,4,Control,0.636,
MD-1-20,20240722,Madracis decactis,3,11,3,2,3,27,2,pH,0.64,
MD-1-21,20240723,Madracis decactis,2,8,8,2,11,27,6,Heat,0.635,
MD-1-22,20240723,Madracis decactis,2,6,6,1,12,27,7,Heat,0.64,
MD-1-24,20240723,Madracis decactis,1,3,3,1,8,27,5,Control,0.635,
MD-1-3,20240722,Madracis decactis,1,4,4,1,1,27,4,Control,0.636,
MD-1-5,20240722,Madracis decactis,1,2,2,1,6,27,7,Heat,0.635,
MD-1-6,20240723,Madracis decactis,3,11,11,2,10,27,2,pH,0.635,
MD-2-1,20240722,Madracis decactis,2,6,2,1,6,27,7,Heat,0.636,
MD-2-10,20240722,Madracis decactis,2,5,1,1,3,27,2,pH,0.635,
MD-2-12,20240723,Madracis decactis,2,8,8,2,12,27,7,Heat,0.642,
MD-2-15,20240723,Madracis decactis,1,1,1,1,7,27,4,Control,0.64,
MD-2-17,20240722,Madracis decactis,1,2,2,1,3,27,2,pH,0.636,
MD-2-20,20240723,Madracis decactis,3,12,12,2,10,27,2,pH,0.636,
MD-2-22,20240722,Madracis decactis,2,7,3,2,1,27,4,Control,0.635,
MD-2-23,20240722,Madracis decactis,3,10,2,2,3,27,2,pH,0.636,
MD-2-23,20240723,Madracis decactis,3,10,2,2,9,27,3,pH,0.636,
MD-2-24,20240723,Madracis decactis,2,5,1,1,7,27,4,Control,0.64,
MD-2-25,20240723,Madracis decactis,3,9,9,2,10,27,2,pH,0.642,
MD-2-3,20240723,Madracis decactis,2,5,5,1,11,27,6,Heat,0.64,
MD-2-4,20240722,Madracis decactis,2,6,2,1,5,27,6,Heat,0.636,
MD-2-5,20240722,Madracis decactis,3,9,1,2,2,27,5,Control,0.637,
MD-2-6,20240723,Madracis decactis,2,7,3,2,8,27,5,Control,0.636,
MD-2-8,20240723,Madracis decactis,1,2,2,1,8,27,5,Control,0.643,
MD-4-1,20240722,Madracis decactis,3,10,2,2,1,27,4,Control,0.64,
MD-4-10,20240723,Madracis decactis,3,12,4,2,7,27,4,Control,0.635,
MD-4-11,20240722,Madracis decactis,3,9,1,2,6,27,7,Heat,0.635,
MD-4-13,20240722,Madracis decactis,2,6,2,1,2,27,5,Control,0.644,
MD-4-15,20240722,Madracis decactis,3,12,4,2,4,27,3,pH,0.64,
MD-4-17,20240722,Madracis decactis,2,8,4,2,1,27,4,Control,0.635,
MD-4-18,20240723,Madracis decactis,2,7,7,2,12,27,7,Heat,0.626,
MD-4-19,20240723,Madracis decactis,2,8,4,2,7,27,4,Control,0.64,
MD-4-2,20240723,Madracis decactis,2,8,4,2,8,27,5,Control,0.635,
MD-4-22,20240723,Madracis decactis,1,4,4,1,9,27,3,pH,0.636,
MD-4-23,20240723,Madracis decactis,1,4,4,1,11,27,6,Heat,0.64,
MD-4-25,20240723,Madracis decactis,1,3,3,1,9,27,3,pH,0.6445,
MD-4-4,20240722,Madracis decactis,1,4,4,1,6,27,7,Heat,0.638,
MD-4-5,20240723,Madracis decactis,3,10,10,2,10,27,2,pH,0.635,
MD-4-6,20240722,Madracis decactis,2,8,4,2,5,27,6,Heat,0.636,
MD-4-7,20240722,Madracis decactis,3,12,4,2,5,27,6,Heat,0.635,
MD-4-9,20240722,Madracis decactis,3,10,2,2,4,27,3,pH,0.64,
MD-5-10,20240723,Madracis decactis,3,12,12,2,12,27,7,Heat,0.637,
MD-5-11,20240723,Madracis decactis,1,3,3,1,11,27,6,Heat,0.64,
MD-5-14,20240722,Madracis decactis,1,3,3,1,1,27,4,Control,0.637,
MD-5-15,20240722,Madracis decactis,3,9,1,2,5,27,6,Heat,0.635,
MD-5-16,20240722,Madracis decactis,1,2,2,1,5,27,6,Heat,0.636,
MD-5-20,20240723,Madracis decactis,1,1,1,1,12,27,7,Heat,0.637,
MD-5-21,20240723,Madracis decactis,2,6,2,1,8,27,5,Control,0.64,
MD-5-22,20240723,Madracis decactis,2,6,2,1,9,27,3,pH,0.626,
MD-5-24,20240723,Madracis decactis,2,7,3,2,7,27,4,Control,0.627,
MD-5-25,20240723,Madracis decactis,2,5,5,1,10,27,2,pH,0.627,
MD-5-26,20240722,Madracis decactis,2,8,4,2,4,27,3,pH,0.635,
MD-5-5,20240722,Madracis decactis,1,3,3,1,2,27,5,Control,0.635,
MD-5-8,20240722,Madracis decactis,2,5,1,1,6,27,7,Heat,0.642,
MD-5-9,20240722,Madracis decactis,3,10,2,2,2,27,5,Control,0.635,
