Date,sample_id,Species,box,Chamber.Channel,Channel,Bin,Run,Temp.Cat,Tank,Treatment,Chamber.Vol.L,Notes
202407023,DL_1_10,Diploria labyrinthiformis,3,11,3,2,8,27,5,Control,0.6,
202407023,BLANK,Madracis decactis,3,12,4,2,8,27,5,Control,0.6,
202407023,DL_2_20,Diploria labyrinthiformis,1,1,1,1,9,27,3,pH,0.6,
202407023,MD_1_10,Madracis decactis,1,2,2,1,9,27,3,pH,0.6,
202407023,MD_4_25,Madracis decactis,1,3,3,1,9,27,3,pH,0.6,
202407023,MD_4_22,Madracis decactis,1,4,4,1,9,27,3,pH,0.6,
202407023,DL_3_17,Diploria labyrinthiformis,2,5,1,1,9,27,3,pH,0.6,
202407023,MD_5_22,Madracis decactis,2,6,2,1,9,27,3,pH,0.6,
202407023,DL_1_1,Diploria labyrinthiformis,2,7,3,2,9,27,3,pH,0.6,
202407023,DL_2_3,Diploria labyrinthiformis,2,8,4,2,9,27,3,pH,0.6,
202407023,MD_1_18,Madracis decactis,3,9,1,2,9,27,3,pH,0.6,
202407023,MD_2_23,Madracis decactis,3,10,2,2,9,27,3,pH,0.6,
202407023,BLANK,Diploria labyrinthiformis,3,11,3,2,9,27,3,pH,0.6,
202407023,DL_4_22,Diploria labyrinthiformis,3,12,4,2,9,27,3,pH,0.6,
202407023,DL_2_8,Diploria labyrinthiformis,1,1,1,1,10,27,2,pH,0.6,
202407023,DL_4_24,Diploria labyrinthiformis,1,2,2,1,10,27,2,pH,0.6,
202407023,DL_3_16,Diploria labyrinthiformis,1,3,3,1,10,27,2,pH,0.6,
202407023,DL_4_17,Diploria labyrinthiformis,1,4,4,1,10,27,2,pH,0.6,
202407023,MD_5_25,Madracis decactis,2,5,5,1,10,27,2,pH,0.6,
202407023,DL_1_21,Diploria labyrinthiformis,2,6,6,1,10,27,2,pH,0.6,
202407023,DL_2_19,Diploria labyrinthiformis,2,7,7,2,10,27,2,pH,0.6,
202407023,BLANK,,2,8,8,2,10,27,2,pH,0.6,
202407023,MD_2_25,Madracis decactis,3,9,9,2,10,27,2,pH,0.6,
202407023,MD_4_5,Madracis decactis,3,10,10,2,10,27,2,pH,0.6,
202407023,MD_1_6,Madracis decactis,3,11,11,2,10,27,2,pH,0.6,
202407023,MD_2_20,Madracis decactis,3,12,12,2,10,27,2,pH,0.6,
202407023,DL_4_20,Diploria labyrinthiformis,1,1,1,1,11,27,6,Heat,0.6,
202407023,DL_2_10,Diploria labyrinthiformis,1,2,2,1,11,27,6,Heat,0.6,
202407023,MD_5_11,Madracis decactis,1,3,3,1,11,27,6,Heat,0.6,
202407023,MD_4_23,Madracis decactis,1,4,4,1,11,27,6,Heat,0.6,
202407023,MD_2_3,Madracis decactis,2,5,5,1,11,27,6,Heat,0.6,
202407023,BLANK,,2,6,6,1,11,27,6,Heat,0.6,
202407023,DL_1_18,Diploria labyrinthiformis,2,7,7,2,11,27,6,Heat,0.6,
202407023,MD_1_21,Madracis decactis,2,8,8,2,11,27,6,Heat,0.6,
202407023,DL_3_5,Diploria labyrinthiformis,3,9,9,2,11,27,6,Heat,0.6,
202407023,MD_1_16,Madracis decactis,3,10,10,2,11,27,6,Heat,0.6,
202407023,DL_1_23,Diploria labyrinthiformis,3,11,11,2,11,27,6,Heat,0.6,
202407023,MD_1_17,Madracis decactis,3,12,12,2,11,27,6,Heat,0.6,
202407023,MD_5_20,Madracis decactis,1,1,1,1,12,27,7,Heat,0.6,
202407023,MD_1_12,Madracis decactis,1,2,2,1,12,27,7,Heat,0.6,
202407023,DL_3_2,Diploria labyrinthiformis,1,3,3,1,12,27,7,Heat,0.6,
202407023,DL_3_10,Diploria labyrinthiformis,1,4,4,1,12,27,7,Heat,0.6,
202407023,DL_2_22,Diploria labyrinthiformis,2,5,5,1,12,27,7,Heat,0.6,
202407023,MD_1_22,Madracis decactis,2,6,6,1,12,27,7,Heat,0.6,
202407023,MD_4_18,Madracis decactis,2,7,7,2,12,27,7,Heat,0.6,
202407023,MD_2_12,Madracis decactis,2,8,8,2,12,27,7,Heat,0.6,
202407023,DL_4_19,Madracis decactis,3,9,9,2,12,27,7,Heat,0.6,
202407023,DL_1_3,Diploria labyrinthiformis,3,10,10,2,12,27,7,Heat,0.6,
202407023,BLANK,Madracis decactis,3,11,11,2,12,27,7,Heat,0.6,
202407023,MD_5_10,Madracis decactis,3,12,12,2,12,27,7,Heat,0.6,
