Date,sample_id,Species,box,Chamber.Channel,Channel,Bin,Run,Temp.Cat,Tank,Treatment,Chamber.Vol.L,Notes
202407016,DL_3_2,Diploria labyrinthiformis,2,6,2,1,6,27,7,Heat,0.6,
202407016,DL_4_19,Diploria labyrinthiformis,2,7,3,2,6,27,7,Heat,0.6,
202407016,DL_1_11,Diploria labyrinthiformis,2,8,4,2,6,27,7,Heat,0.6,
202407016,DL_2_13,Diploria labyrinthiformis,3,9,1,2,6,27,7,Heat,0.6,
202407016,MD_1_5,Madracis decactis,3,10,2,2,6,27,7,Heat,0.6,probe fell out
202407016,MD_4_18,Madracis decactis,3,11,3,2,6,27,7,Heat,0.6,
202407016,MD_2_1,Madracis decactis,3,12,4,2,6,27,7,Heat,0.6,
202407017,MD_2_19,Madracis decactis,1,1,1,1,7,27,4,Control,0.6,
202407017,MD_5_19,Madracis decactis,1,2,2,1,7,27,4,Control,0.6,
202407017,DL_2_4,Diploria labyrinthiformis,1,3,3,1,7,27,4,Control,0.6,
202407017,DL_1_4,Diploria labyrinthiformis,1,4,4,1,7,27,4,Control,0.6,
202407017,DL_1_19,Diploria labyrinthiformis,2,5,1,1,7,27,4,Control,0.6,
202407017,MD_1_2 ,Madracis decactis,2,6,2,1,7,27,4,Control,0.6,
202407017,BLANK,,2,7,3,2,7,27,4,Control,0.6,
202407017,MD_2_22,Madracis decactis,2,8,4,2,7,27,4,Control,0.6,
202407017,DL_4_2,Diploria labyrinthiformis,3,9,1,2,7,27,4,Control,0.6,
202407017,MD_1_3,Madracis decactis,3,10,2,2,7,27,4,Control,0.6,
202407017,MD_1_25,Madracis decactis,3,11,3,2,7,27,4,Control,0.6,
202407017,DL_2_2,Diploria labyrinthiformis,3,12,4,2,7,27,4,Control,0.6,
202407017,MD_5_6,Madracis decactis,1,1,1,1,8,27,5,Control,0.6,BATTERIES START TO SLOW DOWN
202407017,MD_4_2,Diploria labyrinthiformis,1,2,2,1,8,27,5,Control,0.6,
202407017,DL_1_14,Diploria labyrinthiformis,1,3,3,1,8,27,5,Control,0.6,
202407017,BLANK,,1,4,4,1,8,27,5,Control,0.6,
202407017,DL_2_9,Diploria labyrinthiformis,2,5,1,1,8,27,5,Control,0.6,
202407017,MD_5_9,Madracis decactis,2,6,2,1,8,27,5,Control,0.6,
202407017,DL_3_14,Diploria labyrinthiformis,2,7,3,2,8,27,5,Control,0.6,
202407017,MD_4_13,Madracis decactis,2,8,4,2,8,27,5,Control,0.6,
202407017,DL_3_24,Diploria labyrinthiformis,3,9,1,2,8,27,5,Control,0.6,
202407017,MD_2_6,Madracis decactis,3,10,2,2,8,27,5,Control,0.6,
202407017,DL_1_10,Diploria labyrinthiformis,3,11,3,2,8,27,5,Control,0.6,
202407017,MD_1_14,Madracis decactis,3,12,4,2,8,27,5,Control,0.6,
202407017,MD_2_10,Madracis decactis,1,1,1,1,9,27,3,pH,0.6,
202407017,DL_4_17,Diploria labyrinthiformis,1,2,2,1,9,27,3,pH,0.6,
202407017,DL_3_11,Diploria labyrinthiformis,1,3,3,1,9,27,3,pH,0.6,
202407017,MD_1_10,Madracis decactis,1,4,4,1,9,27,3,pH,0.6,
202407017,MD_5_13,Madracis decactis,2,5,1,1,9,27,3,pH,0.6,
202407017,MD_2_20,Madracis decactis,2,6,2,1,9,27,3,pH,0.6,
202407017,DL_2_1,Diploria labyrinthiformis,2,7,3,2,9,27,3,pH,0.6,
202407017,MD_4_25,Madracis decactis,2,8,4,2,9,27,3,pH,0.6,
202407017,MD_4_22,Madracis decactis,3,9,1,2,9,27,3,pH,0.6,
202407017,DL_1_6,Diploria labyrinthiformis,3,10,2,2,9,27,3,pH,0.6,
202407017,DL_1_21,Diploria labyrinthiformis,3,11,3,2,9,27,3,pH,0.6,
202407017,BLANK,,3,12,4,2,9,27,3,pH,0.6,
202407017,MD_4_9,Madracis decactis,1,1,1,1,10,27,2,pH,0.6,
202407017,BLANK,,1,2,2,1,10,27,2,pH,0.6,
202407017,DL_2_16,Diploria labyrinthiformis,1,3,3,1,10,27,2,pH,0.6,
202407017,MD_4_5,Madracis decactis,1,4,4,1,10,27,2,pH,0.6,
202407017,DL_1_15,Diploria labyrinthiformis,2,5,5,1,10,27,2,pH,0.6,
202407017,MD_1_6,Madracis decactis,2,6,6,1,10,27,2,pH,0.6,
202407017,MD_4_21,Madracis decactis,2,7,7,2,10,27,2,pH,0.6,
202407017,DL_1_16,Diploria labyrinthiformis,2,8,8,2,10,27,2,pH,0.6,
202407017,MD_1_4,Madracis decactis,3,9,9,2,10,27,2,pH,0.6,
202407017,DL_3_25,Diploria labyrinthiformis,3,10,10,2,10,27,2,pH,0.6,
202407017,MD_1_13,Madracis decactis,3,11,11,2,10,27,2,pH,0.6,
202407017,DL_2_19,Diploria labyrinthiformis,3,12,12,2,10,27,2,pH,0.6,
202407017,MD_1_17,Madracis decactis,1,1,1,1,11,27,6,Heat,0.6,
202407017,MD_4_6,Madracis decactis,1,2,2,1,11,27,6,Heat,0.6,
202407017,MD_2_4,Madracis decactis,1,3,3,1,11,27,6,Heat,0.6,
202407017,DL_3_22,Diploria labyrinthiformis,1,4,4,1,11,27,6,Heat,0.6,
202407017,DL_1_18,Diploria labyrinthiformis,2,5,5,1,11,27,6,Heat,0.6,
202407017,DL_1_20,Diploria labyrinthiformis,2,6,6,1,11,27,6,Heat,0.6,
202407017,DL_3_26,Diploria labyrinthiformis,2,7,7,2,11,27,6,Heat,0.6,
202407017,MD_5_16,Madracis decactis,2,8,8,2,11,27,6,Heat,0.6,
202407017,MD_5_15,Madracis decactis,3,9,9,2,11,27,6,Heat,0.6,
202407017,BLANK,,3,10,10,2,11,27,6,Heat,0.6,
202407017,MD_1_15,Madracis decactis,3,11,11,2,11,27,6,Heat,0.6,
202407017,MD_1_21,Madracis decactis,3,12,12,2,11,27,6,Heat,0.6,
202407017,BLANK,,1,1,1,1,12,27,7,Heat,0.6,
202407017,MD_4_4,Madracis decactis,1,2,2,1,12,27,7,Heat,0.6,
202407017,MD_1_22,Madracis decactis,1,3,3,1,12,27,7,Heat,0.6,
202407017,MD_5_8,Madracis decactis,1,4,4,1,12,27,7,Heat,0.6,
202407017,MD_5_4,Madracis decactis,2,5,5,1,12,27,7,Heat,0.6,
202407017,DL_3_13,Diploria labyrinthiformis,2,6,6,1,12,27,7,Heat,0.6,
202407017,MD_4_11,Madracis decactis,2,7,7,2,12,27,7,Heat,0.6,
202407017,DL_2_22,Diploria labyrinthiformis,2,8,8,2,12,27,7,Heat,0.6,
202407017,MD_2_24,Madracis decactis,3,9,9,2,12,27,7,Heat,0.6,
202407017,DL_3_10,Diploria labyrinthiformis,3,10,10,2,12,27,7,Heat,0.6,
202407017,MD_4_5,Madracis decactis,3,11,11,2,12,27,7,Heat,0.6,
202407017,MD_2_7,Madracis decactis,3,12,12,2,12,27,7,Heat,0.6,
