Task,T3161,,,,,,,,,
"Scope 1/1, Sample 1/9 (20240720_5)",,,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
1.5125,755,192.1,20,0.0035,207.52,2.32,,,,NaN
1.578,769,200.5,20,0.0045,,,,,,
1.661,780,208.1,20,0.0075,,,,,,
1.7835,790,216.2,20.1,0.012,,,,,,
1.9475,799,224.4,20.1,0.0175,,,,,,
2.1475,808,231.6,20.1,0.022,,,,,,
"Scope 1/1, Sample 3/9 (20240717_4)",,,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,111.9,20,NaN,,,,,,
0.02,28,47.8,20,0.0005,,,,,,
0.04,164,-68.3,20.1,0,,,,,,
0.06,168,-68.6,20.1,0.0055,,,,,,
0.11,171,-68.7,20.1,0.017,,,,,,
0.235,201,-55.5,20.1,0.004,707.06,2.85,,,,NaN
0.264,231,-43.4,20.1,0.001,327.18,2.51,,,,NaN
0.284,262,-34.8,20.1,0.0005,135.97,2.13,,,,NaN
0.304,292,-28.4,20.1,0.0005,123.45,2.09,,,,NaN
0.339,322,-23,20.2,0.001,127.27,2.1,,,,NaN
0.4265,352,-17.3,20.2,0.003,104.5,2.02,,,,NaN
0.6265,382,-10.4,20.2,0.0065,11.27,1.05,,,,NaN
0.8265,412,-2.5,20.2,0.0065,-8.08,0.91,,,,NaN
1.0265,443,5.1,20.2,0.0065,88.26,1.95,,,,NaN
1.2265,473,19.2,20.3,0.0065,416.25,2.62,,,,NaN
1.2905,503,38.2,20.3,0.002,659.09,2.82,,,,NaN
1.3105,533,59.9,20.3,0.0005,800.99,2.9,,,,NaN
1.3305,563,84.2,20.3,0.0005,794.94,2.9,,,,NaN
1.3505,594,112.1,20.3,0.0005,909.59,2.96,,,,NaN
1.3705,624,138.5,20.3,0.0005,984.76,2.99,,,,NaN
1.3905,654,157.9,20.3,0.0005,714.55,2.85,,,,NaN
1.4105,680,168.5,20.3,0.001,609.26,2.78,,,,NaN
1.438,701,176.7,20.4,0.0015,469.81,2.67,,,,NaN
1.4865,719,187,20.4,0.0025,288.05,2.46,,,,NaN
1.5385,734,194.8,20.4,0.0035,,,,,,
1.614,746,203.2,20.4,0.006,,,,,,
1.7125,758,211.3,20.4,0.008,,,,,,
1.8435,768,219.1,20.4,0.013,,,,,,
2.0305,778,227.2,20.4,0.0195,,,,,,
"Scope 1/1, Sample 4/9 (20240809_5)",,,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,123.2,20.4,NaN,,,,,,
0.02,28,85.7,20.4,0.0005,,,,,,
0.04,179,13.5,20.5,0,,,,,,
0.06,209,8.8,20.5,0.0005,,,,,,
0.11,212,8.5,20.5,0.016,,,,,,
0.235,218,9.2,20.5,0.0225,-166.27,2.22,,,,NaN
0.435,248,14,20.5,0.0065,42.45,1.63,,,,NaN
0.635,278,23.3,20.6,0.0065,325.04,2.51,,,,NaN
0.785,308,79.1,20.6,0.005,498.98,2.7,,,,NaN
0.805,338,140,20.6,0.0005,418.65,2.62,,,,NaN
0.825,369,166.4,20.6,0.0005,457.79,2.66,,,,NaN
0.845,386,173.5,20.6,0.001,456.92,2.66,,,,NaN
0.895,404,184.4,20.6,0.003,329.46,2.52,,,,NaN
0.9555,418,193.3,20.6,0.0045,271.19,2.43,,,,NaN
1.0365,430,201.8,20.6,0.007,131.31,2.12,,,,NaN
1.1435,440,209.9,20.6,0.0115,,,,,,
1.288,448,217.9,20.6,0.0175,,,,,,
1.4865,457,225.9,20.6,0.023,,,,,,
1.6865,465,232.1,20.6,0.0255,,,,,,
1.8865,472,237,20.6,0.0285,,,,,,
"Scope 1/1, Sample 5/9 (20240703_acc)",,,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,115.1,20.6,NaN,,,,,,
0.02,28,61.9,20.6,0.0005,,,,,,
0.04,179,-48.7,20.7,0,,,,,,
0.06,182,-49.3,20.7,0.006,,,,,,
0.11,186,-49.2,20.7,0.0115,,,,,,
0.235,217,-37.6,20.7,0.004,585.89,2.77,,,,NaN
0.272,247,-27.9,20.7,0.001,259.65,2.41,,,,NaN
0.292,277,-21.1,20.7,0.0005,112.27,2.05,,,,NaN
0.312,307,-15.8,20.7,0.0005,97.78,1.99,,,,NaN
0.3515,338,-11.2,20.7,0.0015,97.1,1.99,,,,NaN
0.4505,368,-5.5,20.7,0.0035,71.61,1.85,,,,NaN
0.6505,398,0.2,20.7,0.0065,-1.85,0.27,,,,NaN
0.8505,412,3.5,20.7,0.0145,7.52,0.88,,,,NaN
1.0505,442,13.4,20.8,0.0065,132.88,2.12,,,,NaN
1.182,472,25.9,20.8,0.0045,328.49,2.52,,,,NaN
1.2255,503,39.1,20.8,0.0015,468.95,2.67,,,,NaN
1.2455,533,53.1,20.8,0.0005,578,2.76,,,,NaN
1.2655,563,67.6,20.8,0.0005,639.4,2.81,,,,NaN
1.2855,593,83.3,20.8,0.0005,762.9,2.88,,,,NaN
1.3055,623,100.1,20.8,0.0005,887.85,2.95,,,,NaN
1.3255,654,118.6,20.8,0.0005,843.84,2.93,,,,NaN
1.3455,684,136.1,20.8,0.0005,734.54,2.87,,,,NaN
1.3655,714,151.2,20.8,0.0005,590.22,2.77,,,,NaN
1.3855,743,161.8,20.8,0.0005,480.66,2.68,,,,NaN
1.407,764,169.4,20.9,0.001,407.07,2.61,,,,NaN
1.4405,784,178.5,20.9,0.0015,308.37,2.49,,,,NaN
1.479,799,186.5,20.9,0.0025,228.51,2.36,,,,NaN
1.5295,813,194.2,20.9,0.0035,166.29,2.22,,,,NaN
1.601,824,202.5,20.9,0.0065,,,,,,
1.6925,834,210.2,20.9,0.009,,,,,,
1.821,844,218.2,20.9,0.0125,,,,,,
1.997,853,226.2,20.9,0.019,,,,,,
2.197,862,232.9,20.9,0.0235,,,,,,
