Colony_id,Replicate,Species,Tank,Sample_date,Diamerter,weight_before_g,weight_after_g
DL-4-24,1,Diploria labrinthiformis,2,20240815,,30.0701,31.6581
DL-2-3,2,Diploria labrinthiformis,3,20240815,,17.8095,18.9006
DL-2-22,1,Diploria labrinthiformis,7,20240806,,20.3112,21.2172
MD-2-21,1,Madracis decactis,3,20240815,,3.9245,4.0543
DL-1-16,1,Diploria labrinthiformis,2,20240815,,26.2321,27.2555
DL-1-30,extra,Diploria labrinthiformis,3,20240815,,19.6317,20.4744
DL-2-20,1,Diploria labrinthiformis,3,20240815,,22.3385,23.3894
DL-2-31,extra,Diploria labrinthiformis,3,20240815,,19.2179,19.9752
MD-2-7,1,Madracis decactis,7,20240815,,8.9092,9.1846
DL-4-33,extra,Diploria labrinthiformis,3,20240815,,25.6572,26.9293
DL-2-13,1,Diploria labrinthiformis,6,20240815,,24.8469,25.6736
DL-4-25,1,Diploria labrinthiformis,7,20240815,,22.2512,23.2144
DL-1-11,1,Diploria labrinthiformis,7,20240815,,22.5915,23.6401
MD-5-17,1,Madracis decactis,2,20240815,,4.0803,4.2478
DL-3-18,1,Diploria labrinthiformis,2,20240815,,16.6401,17.4388
MD-2-20,2,Madracis decactis,2,20240815,,6.8692,7.4681
MD-5-3,2,Madracis decactis,3,20240815,,32.581,34.4711
MD-2-17,2,Madracis decactis,3,20240815,,11.259,11.7141
MD-1-31,extra,Madracis decactis,2,20240815,,6.8384,7.1377
MD-1-24,2,Madracis decactis,5,20240815,,14.1432,14.806
MD-2-32,extra,Madracis decactis,3,20240815,,8.199,8.522
MD-2-19,2,Madracis decactis,4,20240815,,18.0476,18.7003
DL-2-8,2,Diploria labrinthiformis,2,20240815,,11.916,12.622
MD-1-13,1,Madracis decactis,2,20240815,,10.2679,10.6975
MD-5-23,1,Madracis decactis,3,20240723,,8.5293,9.0549
DL-3-1,2,Diploria labrinthiformis,5,20240806,,23.1962,24.4731
DL-3-15,2,Diploria labrinthiformis,5,20240723,,26.0278,27.15
MD-5-9,2,Madracis decactis,5,20240806,,14.4524,15.3953
DL-2-11,2,Diploria labrinthiformis,5,20240806,,19.0743,19.7178
DL-3-12,1,Diploria labrinthiformis,3,20240723,,9.5385,10.1188
MD-1-10,2,Madracis decactis,3,20240815,,15.6204,16.4467
DL-3-2,1,Diploria labrinthiformis,7,20240815,,17.2992,18.0992
DL-1-14,2,Diploria labrinthiformis,5,20240815,,9.9856,10.5027
DL-3-27,extra,Diploria labrinthiformis,6,20240815,,19.2842,20.1831
MD-4-25,1,Madracis decactis,3,20240806,,1.9527,2.0836
DL-2-7,2,Diploria labrinthiformis,4,20240806,,18.9229,19.6359
MD-1-4,2,Madracis decactis,2,20240815,,8.1706,8.6678
MD-4-5,2,Madracis decactis,2,20240806,,10.3035,10.886
MD-2-8,2,Madracis decactis,5,20240806,,4.5926,4.8187
MD-5-24,1,Madracis decactis,5,20240806,,31.1391,32.7637
MD-1-22,1,Madracis decactis,7,20240806,,10.1968,10.879
Dl-3-30,extra,Diploria labrinthiformis,3,20240815,,22.445,23.5889
MD-5-8,2,Madracis decactis,7,20240723,,6.9815,7.3103
MD-2-9,1,Madracis decactis,2,20240815,,24.8242,25.8744
MD-2-16,2,Madracis decactis,?,20240806,,14.1203,14.9746
MD-2-12,1,Madracis decactis,7,20240806,,12.6981,13.2996
DL-1-18,2,Diploria labrinthiformis,6,20240815,,22.3974,23.464
MD-1-6,2,Madracis decactis,6,20240806,,8.005,8.3051
MD-1-7,2,Madracis decactis,4,20240815,,13.086,13.5162
DL-2-18,1,Diploria labrinthiformis,5,20240806,,18.1757,19.1006
DL-2-12,2,Diploria labrinthiformis,7,20240723,,27.8804,29.1821
DL-2-17,2,Diploria labrinthiformis,acclimation,20240709,,23.3401,24.3794
DL-4-13,1,Diploria labrinthiformis,7,20240723,,20.1538,22.507
DL-1-21,2,Diploria labrinthiformis,2,20240806,,16.6056,17.6356
DL-3-5,2,Diploria labrinthiformis,6,20240806,,15.2026,16.0528
DL-1-12,1,Diploria labrinthiformis,4,20240723,,23.6366,24.7631
DL-4-10,2,Diploria labrinthiformis,2,20240806,,22.0105,23.1185
MD-4-6,1,Madracis decactis,6,20240723,,6.0398,6.6025
DL-1-3,2,Diploria labrinthiformis,7,20240723,,32.8244,34.4692
DL-3-21,1,Diploria labrinthiformis,acclimation,20240709,,18.3273,19.8569
DL-4-5,1,Diploria labrinthiformis,7,20240806,,26.4719,27.7955
MD-4-20,2,Madracis decactis,5,20240806,,15.9671,16.8882
DL-1-7,1,Diploria labrinthiformis,4,20240815,,18.646,19.884
DL-3-17,1,Diploria labrinthiformis,3,20240806,,19.6237,20.6319
MD-1-29,extra,Madracis decactis,7,20240815,,9.3625,9.8925
DL-4-6,1,Diploria labrinthiformis,acclimation,20240709,,19.8956,21.0811
DL-2-9,2,Diploria labrinthiformis,5,20240723,,19.501,20.382
DL-4-26,2,Diploria labrinthiformis,2,20240723,,17.0718,18.0124
DL-4-7,1,Diploria labrinthiformis,4,20240723,,33.0817,34.9455
DL-2-14,1,Diploria labrinthiformis,4,20240806,,20.4562,21.4747
MD-5-12,1,Madracis decactis,acclimation,20240709,,15.8622,16.7624
MD-1-23,2,Madracis decactis,acclimation,20240709,,5.7609,6.2331
MD-5-7,2,Madracis decactis,6,20240815,,18.3136,19.4527
MD-2-11,1,Madracis decactis,acclimation,20240709,,4.6978,4.9279
MD-4-4,2,Madracis decactis,7,20240723,,10.0019,10.2967
DL-1-27,extra,Diploria labrinthiformis,5,20240815,,28.976,30.3147
MD-2-15,1,Madracis decactis,4,20240806,,9.8807,10.2948
DL-4-11,1,Diploria labrinthiformis,3,20240806,,30.1256,31.2743
MD-4-15,1,Madracis decactis,2,20240815,,6.9541,7.3422
MD-4-14,1,Madracis decactis,acclimation,20240709,,10.6702,11.1956
MD-4-11,1,Madracis decactis,7,20240815,,19.0627,19.9003
DL-3-25,2,Diploria labrinthiformis,2,20240723,,18.1633,19.2942
MD-2-5,2,Madracis decactis,5,20240723,,10.0384,10.3979
DL-4-14,1,Diploria labrinthiformis,3,20240723,,21.601,22.7646
MD-1-9,1,Madracis decactis,5,20240815,,8.359,8.8411
MD-2-4,1,Madracis decactis,6,20240723,,14.426,15.069
MD-5-26,2,Madracis decactis,2,20240723,,22.9975,23.6493
MD-2-25,2,Madracis decactis,2,20240723,,9.7974,10.2148
DL-4-4,2,Diploria labrinthiformis,5,20240723,,20.7478,21.7987
DL-1-25,1,Diploria labrinthiformis,acclimation,20240709,,22.7162,23.8945
DL-4-23,2,Diploria labrinthiformis,5,20240815,,15.4939,16.4986
DL-1-10,2,Diploria labrinthiformis,5,20240806,,21.4056,22.4614
MD-1-11,2,Madracis decactis,2,20240723,,4.1805,4.413
MD-5-20,2,Madracis decactis,7,20240815,,20.0956,21.296
DL-2-16,2,Diploria labrinthiformis,2,20240806,,13.7096,14.4972
DL-3-24,2,Diploria labrinthiformis,5,20240815,,23.8621,25.0556
DL-4-19,2,Diploria labrinthiformis,7,20240815,,18.6872,19.7554
DL-3-4,1,Diploria labrinthiformis,4,20240806,,16.5931,17.574
DL-3-3,1,Diploria labrinthiformis,4,20240815,,21.5327,22.7254
MD-2-24,2,Madracis decactis,4,20240815,,4.3769,4.5674
MD-1-1,1,Madracis decactis,acclimation,20240709,,0.4623,0.5561
DL-2-1,1,Diploria labrinthiformis,3,20240806,,15.3795,16.2509
MD-4-21,2,Madracis decactis,2,20240815,,9.2064,9.8608
MD-2-3,1,Madracis decactis,6,20240815,,8.94,9.4257
MD-2-10,1,Madracis decactis,3,20240806,,21.8345,23.0023
DL-2-23,2,Diploria labrinthiformis,7,20240815,,14.6006,15.4499
MD-4-13,2,Madracis decactis,5,20240723,,3.0662,3.3166
DL-1-4,1,Diploria labrinthiformis,4,20240806,,38.7367,40.2968
DL-3-16,2,Diploria labrinthiformis,2,20240806,,24.0744,25.1226
MD-5-13,1,Madracis decactis,3,20240806,,9.337,9.7588
MD-1-25,2,Madracis decactis,4,20240815,,10.6445,11.1408
DL-3-7,2,Diploria labrinthiformis,6,20240815,,13.1599,13.8035
MD-2-13,2,Madracis decactis,6,20240815,,20.5049,20.989
MD-5-1,2,Madracis decactis,2,20240806,,8.2574,8.5843
MD-5-21,1,Madracis decactis,5,20240815,,12.9344,13.454
MD-2-6,1,Madracis decactis,5,20240815,,7.3898,7.5885
MD-1-17,2,Madracis decactis,6,20240815,,6.3811,6.6116
MD-4-9,2,Madracis decactis,2,20240723,,9.2694,9.7881
DL-1-26,2,Diploria labrinthiformis,7,20240815,,19.1501,20.0002
DL-3-22,1,Diploria labrinthiformis,6,20240815,,18.6752,19.7278
DL-4-9,1,Diploria labrinthiformis,6,20240815,,20.8821,22.0215
MD-1-12,2,Madracis decactis,7,20240815,,13.5623,14.0785
MD-5-16,1,Madracis decactis,6,20240723,,16.2203,16.904
MD-5-4,1,Madracis decactis,7,20240815,,12.1181,12.8297
DL-3-10,2,Diploria labrinthiformis,7,20240815,,14.8078,15.5615
MD-4-8,2,Madracis decactis,acclimation,20240709,,7.7283,8.1787
DL-1-20,1,Diploria labrinthiformis,6,20240815,,28.4477,29.7026
DL-2-5,2,Diploria labrinthiformis,2,20240723,,49.1853,50.622
DL-1-22,1,Diploria labrinthiformis,3,20240723,,30.0423,31.3708
DL-1-24,1,Diploria labrinthiformis,5,20240815,,26.8534,28.3603
MD-2-23,1,Madracis decactis,3,20240723,,11.4196,11.9046
DL-4-18,1,Diploria labrinthiformis,4,20240806,,23.1227,24.4263
MD-2-1,2,Madracis decactis,2,20240723,,15.9474,16.5241
MD-1-26,2,Madracis decactis,7,20240815,,6.2093,6.596
MD-5-11,1,Madracis decactis,6,20240815,,11.1231,11.5366
MD-4-31,extra,Madracis decactis,2,20240815,,3.9039,4.1601
MD-2-22,1,Madracis decactis,4,20240723,,8.6275,8.9994
MD-2-14,2,Madracis decactis,6,20240806,,9.3852,9.8262
MD-4-19,1,Madracis decactis,4,20240806,,7.5511,8.2371
MD-1-15,1,Madracis decactis,6,20240723,,10.2887,10.7326
MD-5-25,2,Madracis decactis,2,20240815,,22.3343,23.1764
MD-1-21,2,Madracis decactis,6,20240806,,17.9343,18.7455
MD-2 ,1,Madracis decactis,start of acclimation,20240620,,13.5478,14.2374
MD-4-17,2,Madracis decactis,4,20240815,,13.9391,14.6793
MD-1-18,1,Madracis decactis,3,20240815,,11.1656,12.1027
DL-2-6,1,Diploria labrinthiformis,acclimation,20240709,,20.6277,21.3832
MD-5-14,1,Madracis decactis,4,20240723,,12.667,12.9046
DL-1-1,1,Diploria labrinthiformis,3,20240806,,17.6893,18.568
MD-5-6,2,Madracis decactis,5,20240806,,13.9272,14.6297
DL-1-23,2,Diploria labrinthiformis,6,20240806,,21.667,23.0264
MD-5-15,2,Madracis decactis,6,20240806,,18.9165,19.6936
DL-3-20,1,Diploria labrinthiformis,7,20240806,,23.4501,24.7114
MD-4-3,2,Madracis decactis,6,20240815,,16.3816,16.7752
DL-3-26,1,Diploria labrinthiformis,6,20240723,,18.0076,18.9189
DL-4-8,2,Diploria labrinthiformis,acclimation,20240709,,24.0198,25.1734
MD-5-18,1,Madracis decactis,4,20240815,,16.2968,17.0188
MD-4-18,1,Madracis decactis,7,20240806,,11.6168,12.2423
DL-1-5,1,Diploria labrinthiformis,7,20240806,,16.399,17.2174
MD-5-5,2,Madracis decactis,5,20240723,,18.1166,18.8787
MD-5-10,1,Madracis decactis,7,20240806,,12.814,13.401
DL-2-15,1,Diploria labrinthiformis,6,20240723,,27.6632,29.3965
DL-4-21,2,Diploria labrinthiformis,5,20240806,,17.8578,18.6644
DL-3-23,2,Diploria labrinthiformis,acclimation,20240709,,13.472,14.1664
DL-1-8,2,Diploria labrinthiformis,5,20240723,,22.8502,23.9478
MD-2-26,2,Madracis decactis,7,20240815,,24.1555,25.0176
DL-4-20,2,Diploria labrinthiformis,6,20240806,,19.3482,20.3287
DL-4-15,2,Diploria labrinthiformis,6,20240815,,20.7967,21.8036
MD-4-12,1,Madracis decactis,3,20240723,,7.0218,7.2746
MD-1-12,1,Madracis decactis,7,20240815,,13.8452,14.4751
DL-1-9,1,Diploria labrinthiformis,6,20240723,,20.0378,20.9788
MD-1-3,1,Madracis decactis,4,20240723,,10.6363,11.1513
DL-3,1,Diploria labrinthiformis,start of acclimation,20240620,,17.8235,18.6183
DL-4-3,1,Diploria labrinthiformis,5,20240815,,23.6109,24.7294
DL-1-2,2,Diploria labrinthiformis,acclimation,20240709,,17.4128,18.2215
DL-4-2,2,Diploria labrinthiformis,4,20240815,,25.0441,26.161
MD-1-19,2,Madracis decactis,5,20240723,,1.4228,1.5157
DL-2-28,extra,Diploria labrinthiformis,5,20240815,,30.2903,31.4643
DL-1,1,Diploria labrinthiformis,start of acclimation,20240620,,37.2833,38.5721
DL-2,1,Diploria labrinthiformis,start of acclimation,20240620,,31.5784,32.7828
MD-5-19,2,Madracis decactis,4,20240815,,9.8774,10.2969
