sample-id,Date,Species,box,Chamber.Channel,Channel,Bin,Run,Recovery.Temp.Cat,Temp.Cat,Tank,Chamber.Vol.L,Notes
DL-4-20,20240805,Diploria labyrinthiformis,2,8,4,2,6,28,30,7,0.625,
DL-4-21,20240805,Diploria labyrinthiformis,1,3,3,1,2,28,27,5,0.631,
DL-4-22,20240806,Madracis decactis,3,12,4,2,9,28,27,3,0.625,
DL-4-23,20240805,Diploria labyrinthiformis,2,6,2,1,2,28,27,5,0.635,
DL-4-24,20240806,Diploria labyrinthiformis,3,10,10,2,10,28,27,2,0.617,
DL-4-25,20240806,Diploria labyrinthiformis,2,5,5,1,12,28,30,7,0.63,
DL-4-3,20240806,Diploria labyrinthiformis,2,5,1,1,8,28,27,5,0.625,
DL-4-5,20240805,Diploria labyrinthiformis,2,5,1,1,5,28,30,6,0.625,
DL-4-9,20240806,Diploria labyrinthiformis,1,4,4,1,11,28,30,6,0.62,
MD-1-10,20240806,Madracis decactis,2,5,1,1,9,28,27,3,0.636,
MD-1-12,20240806,Madracis decactis,3,10,10,2,12,28,30,7,0.635,
MD-1-13,20240805,Madracis decactis,1,4,4,1,4,28,27,3,0.64,NO STIR BAR
MD-1-14,20240805,Madracis decactis,3,10,2,2,2,28,27,5,0.64,
MD-1-16,20240805,Madracis decactis,2,5,1,1,6,28,30,7,0.635,
MD-1-17,20240806,Madracis decactis,3,11,11,2,11,28,30,6,0.642,
MD-1-18,20240806,Madracis decactis,3,11,3,2,9,28,27,3,0.636,
MD-1-2,20240805,Madracis decactis,1,4,4,1,1,28,27,4,0.636,
MD-1-21,20240805,Madracis decactis,3,10,2,2,6,28,30,7,0.635,
MD-1-22,20240805,Madracis decactis,1,2,2,1,5,28,30,6,0.64,
MD-1-24,20240806,Madracis decactis,1,3,3,1,8,28,27,5,0.635,
MD-1-25,20240805,Madracis decactis,2,7,3,2,1,28,27,4,0.64,
MD-1-26,20240806,Madracis decactis,1,1,1,1,12,28,30,7,0.642,
MD-1-4,20240806,Madracis decactis,2,8,8,2,10,28,27,2,0.641,
MD-1-6,20240805,Madracis decactis,2,7,3,2,4,28,27,3,0.635,
MD-1-7,20240806,Madracis decactis,2,5,1,1,7,28,27,4,0.633,
MD-1-8,20240805,Madracis decactis,3,11,3,2,3,28,27,2,0.64,
MD-2-10,20240805,Madracis decactis,2,7,3,2,3,28,27,2,0.635,
MD-2-12,20240805,Madracis decactis,3,12,4,2,5,28,30,6,0.642,
MD-2-13,20240806,Madracis decactis,3,9,9,2,11,28,30,6,0.635,
MD-2-14,20240805,Madracis decactis,1,3,3,1,6,28,30,7,0.635,
MD-2-15,20240805,Madracis decactis,1,3,3,1,1,28,27,4,0.64,
MD-2-17,20240805,Madracis decactis,2,6,2,1,3,28,27,2,0.636,
MD-2-18,20240806,Madracis decactis,3,12,4,2,8,28,27,5,0.643,
MD-2-19,20240806,Madracis decactis,3,11,3,2,7,28,27,4,0.635,
MD-2-2,20240805,Madracis decactis,1,1,1,1,4,28,27,3,0.643,
MD-2-20,20240806,Madracis decactis,1,1,1,1,10,28,27,2,0.636,
MD-2-21,20240806,Madracis decactis,1,2,2,1,9,28,27,3,0.64,
MD-2-24,20240806,Madracis decactis,3,12,4,2,7,28,27,4,0.64,
MD-2-26,20240806,Madracis decactis,2,8,8,2,12,28,30,7,0.628,
MD-2-3,20240805,Madracis decactis,3,12,4,2,6,28,30,7,0.64,
MD-2-6,20240806,Madracis decactis,3,10,2,2,8,28,27,5,0.636,
MD-2-7,20240805,Madracis decactis,2,6,2,1,5,28,30,6,0.636,
MD-2-8,20240805,Madracis decactis,2,8,4,2,2,28,27,5,0.643,
MD-4-10,20240806,Madracis decactis,1,2,2,1,7,28,27,4,0.635,
MD-4-11,20240806,Madracis decactis,1,4,4,1,12,28,30,7,0.635,
MD-4-15,20240806,Madracis decactis,3,9,9,2,10,28,27,2,0.64,
MD-4-16,20240806,Madracis decactis,3,12,12,2,12,28,30,7,NA,
MD-4-17,20240806,Madracis decactis,3,10,2,2,7,28,27,4,0.635,
MD-4-18,20240805,Madracis decactis,1,1,1,1,5,28,30,6,0.626,
MD-4-19,20240805,Madracis decactis,3,9,1,2,1,28,27,4,0.64,
MD-4-2,20240805,Madracis decactis,1,1,1,1,2,28,27,5,0.635,
MD-4-20,20240805,Madracis decactis,3,11,3,2,2,28,27,5,0.636,
MD-4-21,20240806,Madracis decactis,3,12,12,2,10,28,27,2,0.641,
MD-4-23,20240805,Madracis decactis,2,7,3,2,6,28,30,7,0.64,
MD-4-24,20240806,Madracis decactis,1,3,3,1,9,28,27,3,0.643,
MD-4-25,20240805,Madracis decactis,3,9,1,2,3,28,27,2,0.6445,
MD-4-26,20240806,Madracis decactis,2,7,3,2,8,28,27,5,0.63,
MD-4-3,20240806,Madracis decactis,3,12,12,2,11,28,30,6,0.635,
MD-4-5,20240805,Madracis decactis,3,11,3,2,4,28,27,3,0.635,
MD-4-7,20240806,Madracis decactis,1,2,2,1,11,28,30,6,0.635,
MD-5-1,20240805,Madracis decactis,2,5,1,1,4,28,27,3,0.638,
MD-5-10,20240805,Madracis decactis,3,9,1,2,5,28,30,6,0.637,
MD-5-11,20240806,Madracis decactis,1,3,3,1,11,28,30,6,0.64,
MD-5-13,20240805,Madracis decactis,1,2,2,1,3,28,27,2,0.637,
MD-5-15,20240805,Madracis decactis,3,9,1,2,6,28,30,7,0.635,
MD-5-18,20240805,Madracis decactis,3,10,2,2,1,28,27,4,0.635,
MD-5-20,20240805,Madracis decactis,3,10,2,2,5,28,30,6,0.637,
MD-5-21,20240806,Madracis decactis,3,11,3,2,8,28,27,5,0.64,
MD-5-22,20240805,Madracis decactis,1,4,4,1,3,28,27,2,0.626,
MD-5-24,20240805,Diploria labyrinthiformis,1,1,1,1,1,28,27,4,0.627,
MD-5-25,20240806,Madracis decactis,2,5,5,1,10,28,27,2,0.627,
MD-5-3,20240806,Madracis decactis,3,9,1,2,9,28,27,3,0.625,
MD-5-4,20240806,Madracis decactis,1,2,2,1,12,28,30,7,0.635,
MD-5-6,20240805,Madracis decactis,2,5,1,1,2,28,27,5,0.635,
MD-5-9,20240806,Madracis decactis,2,8,4,2,8,28,27,5,0.635,
