Date,fragment_ID,Species,box,Chamber.Channel,Channel,Bin,Run,Secondary.Temp.Cat,Priming.Temp.Cat,Tank,Priming.Treatment,Secondary.treatment,Chamber.Vol.L,Notes
20240810,DL-3-22,Diploria labyrinthiformis,1,2,2,1,6,30,30,6,Heat,Heat,0.61,
20240810,DL-4-9,Diploria labyrinthiformis,1,3,3,1,6,30,30,6,Heat,Heat,0.627,
20240810,MD-2-3,Madracis decactis,1,4,4,1,6,30,30,6,Heat,Heat,0.64,
20240810,DL-1-18,Diploria labyrinthiformis,2,5,1,1,6,30,30,6,Heat,Heat,0.625,
20240810,MD-5-7,Madracis decactis,2,6,2,1,6,30,30,6,Heat,Heat,0.63,
20240810,DL-2-13,Diploria labyrinthiformis,2,7,3,2,6,30,30,6,Heat,Heat,0.63,
20240810,MD-4-3,Madracis decactis,2,8,4,2,6,30,30,6,Heat,Heat,0.63,
20240810,BLANK-6,Blank,3,9,1,2,6,30,30,6,Heat,Heat,0.64,
20240811,MD-4-26,Madracis decactis,1,1,1,1,7,28,27,5,Control,Control,0.63,
20240811,DL-2-26,Diploria labyrinthiformis,1,2,2,1,7,28,27,5,Control,Control,0.61,
20240811,DL-1-24,Diploria labyrinthiformis,1,3,3,1,7,28,27,5,Control,Control,0.625,
20240811,MD-1-24,Madracis decactis,1,4,4,1,7,28,27,5,Control,Control,0.63,
20240811,DL-4-23,Diploria labyrinthiformis,2,5,1,1,7,28,27,5,Control,Control,0.6,
20240811,BLANK-7,Blank,2,6,2,1,7,28,27,5,Control,Control,0.645,"PROBES WERE OUT OF THE CHAMBER, THE BLANK WAS RAN AGAIN BUT IN RUN 8"
20240811,MD-5-21,Madracis decactis,2,7,3,2,7,28,27,5,Control,Control,0.63,
20240811,DL-3-24,Diploria labyrinthiformis,2,8,4,2,7,28,27,5,Control,Control,0.615,
20240811,MD-2-18,Madracis decactis,3,9,1,2,7,28,27,5,Control,Control,0.61,
20240811,DL-1-6,Diploria labyrinthiformis,1,1,1,1,8,28,27,3,low_pH,Control,0.62,
20240811,MD-5-22,Madracis decactis,1,2,2,1,8,28,27,3,low_pH,Control,0.62,
20240811,DL-4-12,Diploria labyrinthiformis,1,3,3,1,8,28,27,3,low_pH,Control,0.61,
20240811,MD-2-21,Madracis decactis,1,4,4,1,8,28,27,3,low_pH,Control,0.61,
20240811,DL-3-11,Diploria labyrinthiformis,2,5,1,1,8,28,27,3,low_pH,Control,0.615,
20240811,MD-4-22,Madracis decactis,2,6,2,1,8,28,27,3,low_pH,Control,0.63,
20240811,DL-2-3,Diploria labyrinthiformis,2,7,3,2,8,28,27,3,low_pH,Control,0.62,
20240811,BLANK-8,Blank,2,8,4,2,8,28,27,3,low_pH,Control,0.645,
20240811,MD-1-18,Madracis decactis,3,9,1,2,8,28,27,3,low_pH,Control,0.62,
20240811,BLANK-7,Blank,3,10,2,2,8,28,27,3,low_pH,Control,0.645,
20240811,MD-5-20,Madracis decactis,1,1,1,1,9,28,30,7,Heat,Control,0.625,
20240811,DL-4-19,Diploria labyrinthiformis,1,2,2,1,9,28,30,7,Heat,Control,0.63,
20240811,MD-4-11,Madracis decactis,1,3,3,1,9,28,30,7,Heat,Control,0.625,
20240811,DL-3-2,Diploria labyrinthiformis,1,4,4,1,9,28,30,7,Heat,Control,0.63,
20240811,MD-2-26,Madracis decactis,2,5,1,1,9,28,30,7,Heat,Control,0.635,
20240811,BLANK-9,Blank,2,6,2,1,9,28,30,7,Heat,Control,0.645,
20240811,DL-1-26,Diploria labyrinthiformis,2,7,3,2,9,28,30,7,Heat,Control,0.575,
20240811,MD-1-26,Madracis decactis,2,8,4,2,9,28,30,7,Heat,Control,0.595,
20240811,DL-2-23,Diploria labyrinthiformis,3,9,1,2,9,28,30,7,Heat,Control,0.625,
20240811,MD-5-17,Madracis decactis,1,1,1,1,10,30.5,27,2,low_pH,Heat,0.625,
20240811,DL-4-24,Diploria labyrinthiformis,1,2,2,1,10,30.5,27,2,low_pH,Heat,0.625,
20240811,MD-2-9,Madracis decactis,1,3,3,1,10,30.5,27,2,low_pH,Heat,0.625,
20240811,DL-2-8,Diploria labyrinthiformis,1,4,4,1,10,30.5,27,2,low_pH,Heat,0.63,
20240811,MD-4-21,Madracis decactis,2,5,1,1,10,30.5,27,2,low_pH,Heat,0.625,
20240811,DL-3-9,Diploria labyrinthiformis,2,6,2,1,10,30.5,27,2,low_pH,Heat,0.615,
20240811,MD-1-4,Madracis decactis,2,7,3,2,10,30.5,27,2,low_pH,Heat,0.63,
20240811,DL-1-17,Diploria labyrinthiformis,2,8,4,2,10,30.5,27,2,low_pH,Heat,0.625,
20240811,BLANK-10,Blank,3,9,1,2,10,30.5,27,2,low_pH,Heat,0.644,
20240811,MD-4-17,Madracis decactis,1,1,1,1,11,30.5,27,4,Control,Heat,0.627,
20240811,DL-2-4,Diploria labyrinthiformis,1,2,2,1,11,30.5,27,4,Control,Heat,0.62,
20240811,MD-5-19,Madracis decactis,1,3,3,1,11,30.5,27,4,Control,Heat,0.63,
20240811,DL-3-19,Diploria labyrinthiformis,1,4,4,1,11,30.5,27,4,Control,Heat,0.61,
20240811,DL-1-19,Madracis decactis,2,5,1,1,11,30.5,27,4,Control,Heat,0.63,
20240811,BLANK-11,Blank,2,6,2,1,11,30.5,27,4,Control,Heat,0.645,
20240811,MD-2-24,Madracis decactis,2,7,3,2,11,30.5,27,4,Control,Heat,0.635,
20240811,DL-4-2,Diploria labyrinthiformis,2,8,4,2,11,30.5,27,4,Control,Heat,0.62,
20240811,MD-1-7,Madracis decactis,3,9,1,2,11,30.5,27,4,Control,Heat,0.63,
20240811,MD-5-11,Madracis decactis,1,1,1,1,12,30.5,30,6,Heat,Heat,0.635,
20240811,DL-1-20,Diploria labyrinthiformis,1,2,2,1,12,30.5,30,6,Heat,Heat,0.615,
20240811,MD-4-7,Madracis decactis,1,3,3,1,12,30.5,30,6,Heat,Heat,0.625,
20240811,DL-4-15,Diploria labyrinthiformis,1,4,4,1,12,30.5,30,6,Heat,Heat,0.625,
20240811,MD-1-17,Madracis decactis,2,5,1,1,12,30.5,30,6,Heat,Heat,0.635,
20240811,DL-2-10,Diploria labyrinthiformis,2,6,2,1,12,30.5,30,6,Heat,Heat,0.625,
20240811,BLANK-12,Blank,2,7,3,2,12,30.5,30,6,Heat,Heat,0.625,
20240811,MD-2-13,Madracis decactis,2,8,4,2,12,30.5,30,6,Heat,Heat,0.63,
20240811,DL-3-7,Diploria labyrinthiformis,3,9,1,2,12,30.5,30,6,Heat,Heat,0.63,
