Date,fragment_ID,Species,box,Chamber.Channel,Channel,Bin,Run,Recovery.Temp.Cat,Temp.Cat,Tank,Priming.Treatment,Secondary.Treatment,Chamber.Vol.L,Notes
20240805,BLANK-3,BLANK,3,12,4,2,3,28,27,2,pH,Heat,0.645,
20240805,MD-2-2,Madracis decactis,1,1,1,1,4,28,27,3,pH,Control,0.645,
20240805,DL-2-19,Diploria labyrinthiformis,1,2,2,1,4,28,27,3,pH,Control,0.645,
20240805,DL-3-16,Diploria labyrinthiformis,1,3,3,1,4,28,27,3,pH,Control,0.645,
20240805,MD-1-13,Madracis decactis,1,4,4,1,4,28,27,3,pH,Control,0.645,NO STIR BAR
20240805,MD-5-1,Madracis decactis,2,5,1,1,4,28,27,3,pH,Control,0.645,
20240805,BLANK-4,BLANK,2,6,2,1,4,28,27,3,pH,Control,0.645,
20240805,MD-1-6,Madracis decactis,2,7,3,2,4,28,27,3,pH,Control,0.645,
20240805,DL-2-16,Diploria labyrinthiformis,2,8,4,2,4,28,27,3,pH,Control,0.645,
20240805,DL-1-21,Diploria labyrinthiformis,3,9,1,2,4,28,27,3,pH,Control,0.645,
20240805,DL-4-10,Diploria labyrinthiformis,3,10,2,2,4,28,27,3,pH,Control,0.645,
20240805,MD-4-5,Madracis decactis,3,11,3,2,4,28,27,3,pH,Control,0.645,
20240805,DL-3-18,Diploria labyrinthiformis,3,12,4,2,4,28,27,3,pH,Control,0.645,
20240805,MD-4-18,Madracis decactis,1,1,1,1,5,28,30,6,Heat,Heat,0.645,
20240805,MD-1-22,Madracis decactis,1,2,2,1,5,28,30,6,Heat,Heat,0.645,
20240805,DL-1-26,Diploria labyrinthiformis,1,3,3,1,5,28,30,6,Heat,Heat,0.645,
20240805,DL-3-20,Diploria labyrinthiformis,1,4,4,1,5,28,30,6,Heat,Heat,0.645,
20240805,DL-4-5,Diploria labyrinthiformis,2,5,1,1,5,28,30,6,Heat,Heat,0.645,
20240805,MD-2-7,Madracis decactis,2,6,2,1,5,28,30,6,Heat,Heat,0.645,
20240805,BLANK-5,BLANK,2,7,3,2,5,28,30,6,Heat,Heat,0.645,
20240805,DL-2-22,Diploria labyrinthiformis,2,8,4,2,5,28,30,6,Heat,Heat,0.645,
20240805,MD-5-10,Madracis decactis,3,9,1,2,5,28,30,6,Heat,Heat,0.645,
20240805,MD-5-20,Madracis decactis,3,10,2,2,5,28,30,6,Heat,Heat,0.645,
20240805,DL-1-5,Diploria labyrinthiformis,3,11,3,2,5,28,30,6,Heat,Heat,0.645,
20240805,MD-2-12,Madracis decactis,3,12,4,2,5,28,30,6,Heat,Heat,0.645,
20240805,BLANK-6,BLANK,1,1,1,1,6,28,30,7,Heat,Control,0.645,
20240805,DL-2-10,Diploria labyrinthiformis,1,2,2,1,6,28,30,7,Heat,Control,0.645,
20240805,MD-2-14,Madracis decactis,1,3,3,1,6,28,30,7,Heat,Control,0.645,
20240805,DL-1-23,Diploria labyrinthiformis,1,4,4,1,6,28,30,7,Heat,Control,0.645,
20240805,MD-1-16,Madracis decactis,2,5,1,1,6,28,30,7,Heat,Control,0.645,
20240805,DL-3-5,Diploria labyrinthiformis,2,6,2,1,6,28,30,7,Heat,Control,0.645,
20240805,MD-4-23,Madracis decactis,2,7,3,2,6,28,30,7,Heat,Control,0.645,
20240805,DL-4-20,Diploria labyrinthiformis,2,8,4,2,6,28,30,7,Heat,Control,0.645,
20240805,MD-5-15,Madracis decactis,3,9,1,2,6,28,30,7,Heat,Control,0.645,
20240805,MD-1-21,Madracis decactis,3,10,2,2,6,28,30,7,Heat,Control,0.645,
20240805,DL-2-7,Diploria labyrinthiformis,3,11,3,2,6,28,30,7,Heat,Control,0.645,
20240805,MD-2-3,Madracis decactis,3,12,4,2,6,28,30,7,Heat,Control,0.645,
20240806,DL-2-4,Diploria labyrinthiformis,1,1,1,1,7,28,27,4,Control,Heat,0.645,
20240806,MD-4-10,Madracis decactis,1,2,2,1,7,28,27,4,Control,Heat,0.645,
20240806,DL-2-2 ,Diploria labyrinthiformis,1,3,3,1,7,28,27,4,Control,Heat,0.645,
20240806,DL-3-3,Diploria labyrinthiformis,1,4,4,1,7,28,27,4,Control,Heat,0.645,
20240806,MD-1-7,Madracis decactis,2,5,1,1,7,28,27,4,Control,Heat,0.645,
20240806,DL-4-2,Diploria labyrinthiformis,2,6,2,1,7,28,27,4,Control,Heat,0.645,
20240806,BLANK-7,BLANK,2,7,3,2,7,28,27,4,Control,Heat,0.645,
20240806,DL-3-19,Diploria labyrinthiformis,2,8,4,2,7,28,27,4,Control,Heat,0.645,
20240806,DL-1-19,Diploria labyrinthiformis,3,9,1,2,7,28,27,4,Control,Heat,0.645,
20240806,MD-4-17,Madracis decactis,3,10,2,2,7,28,27,4,Control,Heat,0.645,
20240806,MD-2-19,Madracis decactis,3,11,3,2,7,28,27,4,Control,Heat,0.645,
20240806,MD-2-24,Madracis decactis,3,12,4,2,7,28,27,4,Control,Heat,0.645,
20240806,BLANK-8,BLANK,1,1,1,1,8,28,27,5,Control,Control,0.645,
20240806,DL-2-25,Diploria labyrinthiformis,1,2,2,1,8,28,27,5,Control,Control,0.645,
20240806,MD-1-24,Madracis decactis,1,3,3,1,8,28,27,5,Control,Control,0.645,
20240806,DL-3-24,Diploria labyrinthiformis,1,4,4,1,8,28,27,5,Control,Control,0.645,
20240806,DL-4-3,Diploria labyrinthiformis,2,5,1,1,8,28,27,5,Control,Control,0.645,
20240806,DL-1-14,Diploria labyrinthiformis,2,6,2,1,8,28,27,5,Control,Control,0.645,
20240806,MD-4-26,Madracis decactis,2,7,3,2,8,28,27,5,Control,Control,0.645,
20240806,MD-5-9,Madracis decactis,2,8,4,2,8,28,27,5,Control,Control,0.645,
20240806,DL-3-14,Diploria labyrinthiformis,3,9,1,2,8,28,27,5,Control,Control,0.645,
20240806,MD-2-6,Madracis decactis,3,10,2,2,8,28,27,5,Control,Control,0.645,
20240806,MD-5-21,Madracis decactis,3,11,3,2,8,28,27,5,Control,Control,0.645,
20240806,MD-2-18,Madracis decactis,3,12,4,2,8,28,27,5,Control,Control,0.645,
20240806,DL-1-13,Diploria labyrinthiformis,1,1,1,1,9,28,27,3,pH,Control,0.645,
20240806,MD-2-21,Madracis decactis,1,2,2,1,9,28,27,3,pH,Control,0.645,
20240806,MD-4-24,Madracis decactis,1,3,3,1,9,28,27,3,pH,Control,0.645,
20240806,DL-3-11,Diploria labyrinthiformis,1,4,4,1,9,28,27,3,pH,Control,0.645,
20240806,MD-1-10,Madracis decactis,2,5,1,1,9,28,27,3,pH,Control,0.645,
20240806,DL-4-12,Diploria labyrinthiformis,2,6,2,1,9,28,27,3,pH,Control,0.645,
20240806,DL-3-8,Diploria labyrinthiformis,2,7,3,2,9,28,27,3,pH,Control,0.645,
20240806,DL-2-20,Diploria labyrinthiformis,2,8,4,2,9,28,27,3,pH,Control,0.645,
20240806,MD-5-3,Madracis decactis,3,9,1,2,9,28,27,3,pH,Control,0.645,
20240806,BLANK-9,BLANK,3,10,2,2,9,28,27,3,pH,Control,0.645,
20240806,MD-1-18,Madracis decactis,3,11,3,2,9,28,27,3,pH,Control,0.645,
20240806,DL-4-22,Madracis decactis,3,12,4,2,9,28,27,3,pH,Control,0.645,
20240806,MD-2-20,Madracis decactis,1,1,1,1,10,28,27,2,pH,Heat,0.645,
20240806,DL-3-9,Diploria labyrinthiformis,1,2,2,1,10,28,27,2,pH,Heat,0.645,
20240806,DL-1-17,Diploria labyrinthiformis,1,3,3,1,10,28,27,2,pH,Heat,0.645,
20240806,BLANK-10,BLANK,1,4,4,1,10,28,27,2,pH,Heat,0.645,
20240806,MD-5-25,Madracis decactis,2,5,5,1,10,28,27,2,pH,Heat,0.645,
20240806,DL-1-16,Diploria labyrinthiformis,2,6,6,1,10,28,27,2,pH,Heat,0.645,
20240806,DL-2-8,Diploria labyrinthiformis,2,7,7,2,10,28,27,2,pH,Heat,0.645,
20240806,MD-1-4,Madracis decactis,2,8,8,2,10,28,27,2,pH,Heat,0.645,
20240806,MD-4-15,Madracis decactis,3,9,9,2,10,28,27,2,pH,Heat,0.645,
20240806, DL-4-24,Diploria labyrinthiformis,3,10,10,2,10,28,27,2,pH,Heat,0.645,
20240806,DL-4-17,Diploria labyrinthiformis,3,11,11,2,10,28,27,2,pH,Heat,0.645,
20240806,MD-4-21,Madracis decactis,3,12,12,2,10,28,27,2,pH,Heat,0.645,
20240806,DL-1-20,Diploria labyrinthiformis,1,1,1,1,11,28,30,6,Heat,Heat,0.645,
20240806,MD-4-7,Madracis decactis,1,2,2,1,11,28,30,6,Heat,Heat,0.645,
20240806,MD-5-11,Madracis decactis,1,3,3,1,11,28,30,6,Heat,Heat,0.645,
20240806,DL-4-9,Diploria labyrinthiformis,1,4,4,1,11,28,30,6,Heat,Heat,0.645,
20240806,DL-3-7,Diploria labyrinthiformis,2,5,5,1,11,28,30,6,Heat,Heat,0.645,
20240806,DL-4-15,Diploria labyrinthiformis,2,6,6,1,11,28,30,6,Heat,Heat,0.645,
20240806,DL-1-18,Diploria labyrinthiformis,2,7,7,2,11,28,30,6,Heat,Heat,0.645,
20240806,DL-2-13,Diploria labyrinthiformis,2,8,8,2,11,28,30,6,Heat,Heat,0.645,
20240806,MD-2-13,Madracis decactis,3,9,9,2,11,28,30,6,Heat,Heat,0.645,
20240806,BLANK-11,BLANK,3,10,10,2,11,28,30,6,Heat,Heat,0.645,
20240806,MD-1-17,Madracis decactis,3,11,11,2,11,28,30,6,Heat,Heat,0.645,
20240806,MD-4-3,Madracis decactis,3,12,12,2,11,28,30,6,Heat,Heat,0.645,
20240806,MD-1-26,Madracis decactis,1,1,1,1,12,28,30,7,Heat,Control,0.645,
20240806,MD-5-4,Madracis decactis,1,2,2,1,12,28,30,7,Heat,Control,0.645,
20240806,DL-1-11,Diploria labyrinthiformis,1,3,3,1,12,28,30,7,Heat,Control,0.645,
20240806,MD-4-11,Madracis decactis,1,4,4,1,12,28,30,7,Heat,Control,0.645,
20240806,DL-4-25,Diploria labyrinthiformis,2,5,5,1,12,28,30,7,Heat,Control,0.645,
20240806,DL-2-23,Diploria labyrinthiformis,2,6,6,1,12,28,30,7,Heat,Control,0.645,
20240806,DL-2-24,Diploria labyrinthiformis,2,7,7,2,12,28,30,7,Heat,Control,0.645,
20240806,MD-2-26,Madracis decactis,2,8,8,2,12,28,30,7,Heat,Control,0.645,
20240806,BLANK-12,BLANK,3,9,9,2,12,28,30,7,Heat,Control,0.645,
20240806,MD-1-12,Madracis decactis,3,10,10,2,12,28,30,7,Heat,Control,0.645,
20240806,DL-4-19,Diploria labyrinthiformis,3,11,11,2,12,28,30,7,Heat,Control,0.645,
20240806,MD-4-16,Madracis decactis,3,12,12,2,12,28,30,7,Heat,Control,0.645,
