Fragment_ID,Species,Sample_date,Tank,chla.ug.cm2,chlc2.ug.cm2,timepoint,Inital.Treatment,Secondary.Treatment,Colony
MD-2-25,Madracis decactis,20240723,2,0.8673714759237685,0.25658909901868654,TP2,Low_pH,NONE,2
MD-2-3,Madracis decactis,20240815,6,0.36595664211745543,0.10474250382343463,TP4,High_Temp,High_Temp,2
MD-2-4,Madracis decactis,20240723,6,0.5644709693722607,0.15274482995661876,TP2,High_Temp,NONE,2
MD-2-5,Madracis decactis,20240723,5,0.913243849392276,0.2796462690131188,TP2,Control,NONE,2
MD-4-11,Madracis decactis,20240815,7,0.9136022070392622,0.24391381693335096,TP4,High_Temp,Control,4
MD-4-13,Madracis decactis,20240723,5,0.6319589658756989,0.1642953238645251,TP2,Control,NONE,4
MD-4-21,Madracis decactis,20240815,2,0.2639419197480184,0.08691735597565309,TP4,Low_pH,High_Temp,4
MD-5-20,Madracis decactis,20240815,7,0.5051346842438263,0.1336803829951606,TP4,High_Temp,Control,3
MD-5-26,Madracis decactis,20240723,2,0.8437881699117942,0.2921967421283455,TP2,Low_pH,NONE,3
DL-1-16,Diploria labrinthiformis,20240815,2,0.7064401048294795,0.17563129534746902,TP4,Low_pH,High_Temp,1
DL-1-6,Diploria labrinthiformis,20240815,3,0.7189913244302142,0.18987792002508747,TP4,Low_pH,Control,1
DL-2-13,Diploria labrinthiformis,20240815,6,0.9108965100436683,0.22896325516968258,TP4,High_Temp,High_Temp,2
DL-2-22,Diploria labrinthiformis,20240806,7,1.4000031535201072,0.4739826708041136,TP3,High_Temp,NONE,2
DL-2-26,Diploria labrinthiformis,20240815,5,0.6713356744181945,0.22926416704123725,TP4,Control,Control,2
DL-2-4,Diploria labrinthiformis,20240815,4,0.7738191811883712,0.2599872109400803,TP4,Control,High_Temp,2
DL-3-11,Diploria labrinthiformis,20240815,3,0.6671171044467896,0.29016309466459955,TP4,Low_pH,Control,3
DL-3-18,Diploria labrinthiformis,20240815,2,0.9489234130597908,0.26459554796276763,TP4,Low_pH,High_Temp,3
DL-3-9,Diploria labrinthiformis,20240815,2,0.7035214564598811,0.21711172503829648,TP4,Low_pH,High_Temp,3
DL-4-1,Diploria labrinthiformis,20240815,4,0.41695249615118424,0.14490935821817896,TP4,Control,High_Temp,4
DL-4-22,Diploria labrinthiformis,20240815,3,1.2709073310523913,0.32154372564488015,TP4,Low_pH,Control,4
DL-4-24,Diploria labrinthiformis,20240815,2,0.5485142314270692,0.17414375879748883,TP4,Low_pH,High_Temp,4
MD-1-11,Madracis decactis,20240723,2,0.6763763027590164,0.14321148018846755,TP2,Low_pH,NONE,1
MD-1-13,Madracis decactis,20240815,2,0.3457475914568965,0.1383544152679893,TP4,Low_pH,High_Temp,1
MD-1-2,Madracis decactis,20240806,4,1.0608637951723365,0.31587095898617057,TP3,Control,NONE,1
MD-1-24,Madracis decactis,20240815,5,1.3004578897740915,0.2926090156738714,TP4,Control,Control,1
MD-2-17,Madracis decactis,20240815,3,1.2568792438816605,0.27055578501136435,TP4,Low_pH,Control,2
MD-2-19,Madracis decactis,20240815,4,0.22106325923889789,0.0852974974427101,TP4,Control,High_Temp,2
MD-2-21,Madracis decactis,20240815,3,1.5131362531667287,0.21916310104220804,TP4,Low_pH,Control,2
MD-2-7,Madracis decactis,20240815,7,0.8963618070045923,0.12982930841012463,TP4,High_Temp,Control,2
MD-4-2,Madracis decactis,20240815,5,0.9266643242334636,0.1588201467932955,TP4,Control,Control,4
MD-4-22,Madracis decactis,20240815,3,0.1506793567899574,0.058938174056923955,TP4,Low_pH,Control,4
MD-5-17,Madracis decactis,20240815,2,0.605079989432586,0.1472072047302743,TP4,Low_pH,High_Temp,3
MD-5-3,Madracis decactis,20240815,3,0.9174114386943432,0.2589092559476474,TP4,Low_pH,Control,3
DL-1-11,Diploria labrinthiformis,20240815,7,1.015442253006219,0.28910773489502,TP4,High_Temp,Control,1
DL-1-13,Diploria labrinthiformis,20240815,3,0.9179793622794575,0.2496820396805969,TP4,Low_pH,Control,1
DL-1-15,Diploria labrinthiformis,20240723,2,0.5567326376714214,0.1559183519483656,TP2,Low_pH,NONE,1
DL-1-17,Diploria labrinthiformis,20240815,2,0.38997651015307827,0.1234016514503731,TP4,Low_pH,High_Temp,1
DL-1-19,Diploria labrinthiformis,20240815,4,0.5384898115468753,0.15520236567123963,TP4,Control,High_Temp,1
DL-2-10,Diploria labrinthiformis,20240815,6,1.81475092335301,0.5490732198360324,TP4,High_Temp,High_Temp,2
DL-2-19,Diploria labrinthiformis,20240815,2,0.6744476881064038,0.2104672726000642,TP4,Low_pH,High_Temp,2
DL-2-2,Diploria labrinthiformis,20240815,4,0.8247742581269931,0.3217308629919121,TP4,Control,High_Temp,2
DL-2-20,Diploria labrinthiformis,20240815,3,0.6402841570958053,0.19893485424932988,TP4,Low_pH,Control,2
DL-2-21,Diploria labrinthiformis,20240723,3,0.8575567506818739,0.2590810537746892,TP2,Low_pH,NONE,2
DL-2-24,Diploria labrinthiformis,20240815,7,0.8783999331020922,0.2506759991950286,TP4,High_Temp,Control,2
DL-2-25,Diploria labrinthiformis,20240815,5,1.3632074927520283,0.5351830715835932,TP4,Control,Control,2
DL-2-3,Diploria labrinthiformis,20240815,3,0.7206483735680267,0.21588898622582675,TP4,Low_pH,Control,2
DL-2-8,Diploria labrinthiformis,20240815,2,0.9403451862991493,0.33805829851970365,TP4,Low_pH,High_Temp,2
DL-3-13,Diploria labrinthiformis,20240723,7,1.2707126825278388,0.41532660504503577,TP2,High_Temp,NONE,3
DL-3-14,Diploria labrinthiformis,20240815,5,0.9966971768554062,0.25172012403097255,TP4,Control,Control,3
DL-3-19,Diploria labrinthiformis,20240815,4,0.5421471924329435,0.17890843156837583,TP4,Control,High_Temp,3
DL-3-6,Diploria labrinthiformis,20240723,4,1.0135063039857646,0.22373595514211025,TP2,Control,NONE,3
DL-3-8,Diploria labrinthiformis,20240815,3,1.0690937716883169,0.31698016241593824,TP4,Low_pH,Control,3
DL-4-12,Diploria labrinthiformis,20240815,3,1.3186963330634838,0.34231023336817046,TP4,Low_pH,Control,4
DL-4-16,Diploria labrinthiformis,20240723,7,0.6955665853812415,0.29059355906308004,TP2,High_Temp,NONE,4
DL-4-25,Diploria labrinthiformis,20240815,7,1.065207925711538,0.33485013364452954,TP4,High_Temp,Control,4
MD-1-14,Madracis decactis,20240806,5,1.0032697904106014,0.27322489412691237,TP3,Control,NONE,1
MD-1-16,Madracis decactis,20240815,6,0.30812265006634054,0.08644122327110032,TP4,High_Temp,High_Temp,1
MD-1-20,Madracis decactis,20240723,3,0.899252830485096,0.2232503188787415,TP2,Low_pH,NONE,1
MD-1-5,Madracis decactis,20240723,7,0.5516244016313724,0.1550449638725328,TP2,High_Temp,NONE,1
MD-1-8,Madracis decactis,20240806,3,1.3215779631894375,0.2962457489058828,TP3,Low_pH,NONE,1
MD-2-18,Madracis decactis,20240815,5,0.604044443501165,0.11047496543646385,TP4,Control,Control,2
MD-2-2,Madracis decactis,20240806,2,0.4607086813894472,0.11984778168799072,TP3,Low_pH,NONE,2
MD-2-20,Madracis decactis,20240815,2,0.25368489636946734,0.10720329540771263,TP4,Low_pH,High_Temp,2
MD-4-1,Madracis decactis,20240723,4,1.3744185467106484,0.14328084315111608,TP2,Control,NONE,4
MD-4-10,Madracis decactis,20240815,4,0.5206690235149446,0.13614756022047336,TP4,Control,High_Temp,4
MD-4-23,Madracis decactis,20240806,6,0.60973060638844645,0.15669182077219027,TP3,High_Temp,NONE,4
MD-4-24,Madracis decactis,20240815,3,0.4232797089934872,0.13456001922128585,TP4,Low_pH,Control,4
MD-4-26,Madracis decactis,20240815,5,0.45132610992950495,0.11929686376119658,TP4,Control,Control,4
MD-4-7,Madracis decactis,20240815,6,0.3399157007899896,0.05279014425143369,TP4,High_Temp,High_Temp,4
MD-5-2,Madracis decactis,20240709,acclimation,1.0594720576228196,0.15318722802190265,TP1,Acclimation,NONE,3
MD-5-22,Madracis decactis,20240815,3,0.5575295246080191,0.12609577278766937,TP4,Low_pH,Control,3
DL-1-1,Diploria labrinthiformis,20240806,3,0.3274919879185301,0.1073974949696096,TP3,Low_pH,NONE,1
DL-1-20,Diploria labrinthiformis,20240815,6,0.27633008607703957,0.08788380453884914,TP4,High_Temp,High_Temp,1
DL-1-22,Diploria labrinthiformis,20240723,3,0.4946151639746015,0.13487516622780174,TP2,Low_pH,NONE,1
DL-1-23,Diploria labrinthiformis,20240806,6,0.663703362855272,0.1532867946480262,TP3,High_Temp,NONE,1
DL-1-24,Diploria labrinthiformis,20240815,5,0.5303257363708378,0.18838283470339057,TP4,Control,Control,1
DL-1-5,Diploria labrinthiformis,20240806,7,0.11983201219362534,0.036034966327079886,TP3,High_Temp,NONE,1
DL-2,Diploria labrinthiformis,20240620,start of acclimation,1.5905110539289962,0.4322364210218376,TP0,NA,NONE,2
DL-2-6,Diploria labrinthiformis,20240709,acclimation,-0.04467200122289178,0.4712511790156119,TP1,Acclimation,NONE,2
DL-3-10,Diploria labrinthiformis,20240815,7,0.9683130433776928,0.36756821548377894,TP4,High_Temp,Control,3
DL-3-20,Diploria labrinthiformis,20240806,7,0.7164345859967656,0.17940487653665324,TP3,High_Temp,NONE,3
MD-1-12,Madracis decactis,20240815,7,0.2981572295172723,0.02179565507229608,TP4,High_Temp,Control,1
MD-1-12,Madracis decactis,20240815,7,0.2505242173952924,0.01831362411854042,TP4,High_Temp,Control,1
MD-1-12,Madracis decactis,20240815,7,0.3923121441016741,0.028678493516179047,TP4,High_Temp,Control,1
MD-1-12,Madracis decactis,20240815,7,0.3296371281517005,0.02409687384018476,TP4,High_Temp,Control,1
MD-2-1,Madracis decactis,20240723,2,1.003898626807835,0.2058129192865575,TP2,Low_pH,NONE,2
MD-2-14,Madracis decactis,20240806,6,0.5454630452804345,0.2259537578970928,TP3,High_Temp,NONE,2
MD-2-22,Madracis decactis,20240723,4,1.8261951797197207,0.4099204862775655,TP2,Control,NONE,2
MD-4-17,Madracis decactis,20240815,4,0.4590866430709925,0.09865154143311478,TP4,Control,High_Temp,4
MD-4-18,Madracis decactis,20240806,7,0.4006612957094709,-0.018391958431701466,TP3,High_Temp,NONE,4
MD-4-3,Madracis decactis,20240815,6,0.27522959470624875,0.02530364994740487,TP4,High_Temp,High_Temp,4
MD-4-8,Madracis decactis,20240709,acclimation,1.2133456809617111,0.3141418840675196,TP1,Acclimation,NONE,4
MD-5-10,Madracis decactis,20240806,7,-0.06282003365186457,0.03829374987922622,TP3,High_Temp,NONE,3
MD-5-14,Madracis decactis,20240723,4,2.1371560938659226,0.2550034736564456,TP2,Control,NONE,3
MD-5-15,Madracis decactis,20240806,6,0.9854795685258987,0.23832412391129978,TP3,High_Temp,NONE,3
MD-5-18,Madracis decactis,20240815,4,0.41118732254641355,0.2718460138237889,TP4,Control,High_Temp,3
MD-5-5,Madracis decactis,20240723,5,0.6239220255944373,0.1824885421122605,TP2,Control,NONE,3
MD-5-6,Madracis decactis,20240806,5,0.7126650824171867,0.1262366229902521,TP3,Control,NONE,3
DL-1,Diploria labrinthiformis,20240620,start of acclimation,0.8943815988627126,0.32160696872116845,TP0,NA,NONE,1
DL-1-2,Diploria labrinthiformis,20240709,acclimation,0.7026809729936844,0.2018014078411414,TP1,Acclimation,NONE,1
DL-1-26,Diploria labrinthiformis,20240815,7,0.962740515886774,0.4366373367005668,TP4,High_Temp,Control,1
DL-2-15,Diploria labrinthiformis,20240723,6,0.55263653009284,0.180940690810625,TP2,High_Temp,NONE,2
DL-3,Diploria labrinthiformis,20240620,start of acclimation,0.5227368478372941,0.15248835927223534,TP0,NA,NONE,3
DL-3-16,Diploria labrinthiformis,20240806,2,0.8965974751742943,0.267971936265253,TP3,Low_pH,NONE,3
DL-3-4,Diploria labrinthiformis,20240806,4,0.7397604632284329,0.19156607036885118,TP3,Control,NONE,3
DL-3-7,Diploria labrinthiformis,20240815,6,0.9363516087143567,0.3654378091404434,TP4,High_Temp,High_Temp,3
DL-4-2,Diploria labrinthiformis,20240815,4,0.9085025356628732,0.3603161102812882,TP4,Control,High_Temp,4
DL-4-9,Diploria labrinthiformis,20240815,6,0.8783534460700728,0.2584689748547808,TP4,High_Temp,High_Temp,4
MD-1-12,Madracis decactis,20240815,7,1.0128766561464002,0.26587556957456754,TP4,High_Temp,Control,1
MD-1-12,Madracis decactis,20240815,7,0.8510614752151692,0.22339981190473704,TP4,High_Temp,Control,1
MD-1-12,Madracis decactis,20240815,7,1.3327324422978952,0.3498362757560099,TP4,High_Temp,Control,1
MD-1-12,Madracis decactis,20240815,7,1.1198177305462755,0.29394712092728553,TP4,High_Temp,Control,1
MD-1-18,Madracis decactis,20240815,3,0.3110048526417771,0.1380490073669904,TP4,Low_pH,Control,1
MD-1-19,Madracis decactis,20240723,5,0.3161249976684784,0.14866594062728825,TP2,Control,NONE,1
MD-1-25,Madracis decactis,20240815,4,0.6337968650502953,0.1687748607502705,TP4,Control,High_Temp,1
MD-2-10,Madracis decactis,20240806,3,0.9587751819591865,0.2944171940473003,TP3,Low_pH,NONE,2
MD-2-24,Madracis decactis,20240815,4,0.11967374691786618,0.07917415049653347,TP4,Control,High_Temp,2
MD-2-26,Madracis decactis,20240815,7,1.0004990288981475,0.3237807899828512,TP4,High_Temp,Control,2
MD-2-6,Madracis decactis,20240815,5,1.169438130816869,0.48176751822591246,TP4,Control,Control,2
MD-4-19,Madracis decactis,20240806,4,0.17275234212913385,0.02541937607691509,TP3,Control,NONE,4
MD-5-1,Madracis decactis,20240806,2,1.0526885516280007,0.6386349685074758,TP3,Low_pH,NONE,3
MD-5-13,Madracis decactis,20240806,3,0.48355684667794163,0.17043248891185825,TP3,Low_pH,NONE,3
MD-5-19,Madracis decactis,20240815,4,0.47784298820756876,0.1754213951710463,TP4,Control,High_Temp,3
MD-5-21,Madracis decactis,20240815,5,0.5927107261569332,0.1620597860391856,TP4,Control,Control,3
MD-5-4,Madracis decactis,20240815,7,0.7220564524248108,0.2482662118465822,TP4,High_Temp,Control,3
DL-1-8,Diploria labrinthiformis,20240723,5,0.3379602007712864,0.10787752041908964,TP2,Control,NONE,1
DL-1-9,Diploria labrinthiformis,20240723,6,-0.01825806819717935,-0.039697338267453905,TP2,High_Temp,NONE,1
DL-2-5,Diploria labrinthiformis,20240723,2,1.3630981532495314,0.4641381958895656,TP2,Low_pH,NONE,2
DL-3-22,Diploria labrinthiformis,20240815,6,0.7305584268027014,0.2453095840612308,TP4,High_Temp,High_Temp,3
DL-3-23,Diploria labrinthiformis,20240709,acclimation,-0.010279616251084775,-0.022350305583915552,TP1,Acclimation,NONE,3
DL-3-26,Diploria labrinthiformis,20240723,6,0.01435949433650835,0.031220920957783678,TP2,High_Temp,NONE,3
DL-4-15,Diploria labrinthiformis,20240815,6,-0.013098572126337901,-0.0284793792478116,TP4,High_Temp,High_Temp,4
DL-4-18,Diploria labrinthiformis,20240806,4,0.0052692193338281694,0.01145652322257728,TP3,Control,NONE,4
DL-4-20,Diploria labrinthiformis,20240806,6,-0.00799053213848724,-0.017373297865515353,TP3,High_Temp,NONE,4
DL-4-21,Diploria labrinthiformis,20240806,5,1.5757404215219715,0.45857214173317,TP3,Control,NONE,4
DL-4-3,Diploria labrinthiformis,20240815,5,-0.023337110324518472,-0.05074037147481032,TP4,Control,Control,4
DL-4-8,Diploria labrinthiformis,20240709,acclimation,-0.029428456026276764,-0.03859308880271189,TP1,Acclimation,NONE,4
MD-1-15,Madracis decactis,20240723,6,-0.06135754268217094,-0.13340574154992865,TP2,High_Temp,NONE,1
MD-1-17,Madracis decactis,20240815,6,-0.04940766647735084,-0.08590041982992458,TP4,High_Temp,High_Temp,1
MD-1-21,Madracis decactis,20240806,6,-0.05589187124848696,-0.12152208521682153,TP3,High_Temp,NONE,1
MD-1-26,Madracis decactis,20240815,7,-0.027714477512773707,-0.03634534176092008,TP4,High_Temp,Control,1
MD-1-3,Madracis decactis,20240723,4,-0.05196235528662546,-0.07918920583064491,TP2,Control,NONE,1
MD-2,Madracis decactis,20240620,start of acclimation,-0.0875491200123359,-0.1334224602927721,TP0,NA,NONE,2
MD-2-13,Madracis decactis,20240815,6,-0.02039959896433094,-0.044353530278332144,TP4,High_Temp,High_Temp,2
MD-2-23,Madracis decactis,20240723,3,-0.01797106526255661,-0.03907332632618889,TP2,Low_pH,NONE,2
MD-4-12,Madracis decactis,20240723,3,3.0384573413316356,1.0376469149422738,TP2,Low_pH,NONE,4
MD-4-9,Madracis decactis,20240723,2,-0.011308355380776507,-0.024587026620298137,TP2,Low_pH,NONE,4
MD-5-11,Madracis decactis,20240815,6,1.2892052133243566,0.40365561083377605,TP4,High_Temp,High_Temp,3
MD-5-16,Madracis decactis,20240723,6,-0.00845735896031305,0.0026859328981571626,TP2,High_Temp,NONE,3
MD-5-25,Madracis decactis,20240815,2,-0.040867135520032086,-0.03647143552485303,TP4,Low_pH,High_Temp,3
