Sample.ID,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date.Sampled,Date_extraction,Date_LibraryPrep,Initals,Qbit #1 ug/uL,Qbit #2 ug/uL,Qbit avg ug/uL,Primer,Notebook_post
MD-5-5,Tank_5,Control,NONE,20240723,20250527,20250617,JA,5.52,5.5,5.51,49,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-1,Tank_4,Control,NONE,20240723,20250526,20250617,JA,8.36,8.32,8.34,50,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-22,Tank_3,Low_pH,Control,20240815,20250530,20250617,JA,9.72,9.68,9.7,51,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2-6,Tank_5,Control,Control,20240815,20250529,20250617,JA,8.6,8.58,8.59,52,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-1-20,Tank_3,Low_pH,NONE,20240723,20250527,20250618,JA,7.1,7.1,7.1,67,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/331a2736be2c62d38ea3f69f9f1a8ce836906a78/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-2-4,Tank_6,High_Temp,NONE,20240723,20250523,20250618,JA,1.85,1.84,1.845,68,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/331a2736be2c62d38ea3f69f9f1a8ce836906a78/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-2-10,Tank_3,Low_pH,NONE,20240806,20250528,20250618,JA,4.66,4.66,4.66,69,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/331a2736be2c62d38ea3f69f9f1a8ce836906a78/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-4-5,Tank_2,Low_pH,NONE,20240806,20250527,20250618,JA,2.66,2.66,2.66,70,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/331a2736be2c62d38ea3f69f9f1a8ce836906a78/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-2-2,Tank_2,Low_pH,NONE,20240806,20250528,20250618,JA,2.62,2.62,2.62,71,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/331a2736be2c62d38ea3f69f9f1a8ce836906a78/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-1-8,Tank_3,Low_pH,NONE,20240806,20250529,20250619,FF,8.76,8.74,8.75,72,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2-7,Tank_7,High_Temp,Control,20240815,20250603,20250619,FF,5.54,5.52,5.53,73,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2-3,Tank_6,High_Temp,High_Temp,20240815,20250531,20250619,FF,5.66,5.66,5.66,75,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-11,Tank_6,High_Temp,High_Temp,20240815,20250531,20250619,FF,6.32,6.3,6.31,76,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-25,Tank_3,Low_pH,NONE,20240806,20250529,20250624,JA/NC,4.54,4.54,4.54,77,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/331a2736be2c62d38ea3f69f9f1a8ce836906a78/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-2-13,Tank_6,High_Temp,High_Temp,20240815,20250531,20250619,JA/NC,4.44,4.42,4.43,77,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-7,Tank_6,High_Temp,High_Temp,20240815,20250531,20250619,JA/NC,5.78,5.76,5.77,78,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-1-10,Tank_3,Low_pH,Control,20240815,20250526,20250624,JA/NC,7.1,7.1,7.1,78,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/331a2736be2c62d38ea3f69f9f1a8ce836906a78/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-2-19,Tank_4,Control,High_Temp,20240815,20250531,20250619,FF,4.26,4.2,4.23,79,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-1-17,Tank_6,High_Temp,High_Temp,20240815,20250530,20250624,JA/NC,1.83,1.83,1.83,79,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/331a2736be2c62d38ea3f69f9f1a8ce836906a78/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-4,NA,NA,NONE,20240620,20250605,20250620,FF,3.88,3.88,3.88,80,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-1-6,Tank_2,Low_pH,NONE,20240806,20250529,20250624,JA/NC,3.76,3.76,3.76,80,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/331a2736be2c62d38ea3f69f9f1a8ce836906a78/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-5-4,Tank_7,High_Temp,Control,20240815,20250603,20250620,FF,14.7,14.6,14.65,83,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-1-25,Tank_4,Control,High_Temp,20240815,20250602,20250620,FF,7.66,7.65,7.655,84,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-1-12,Tank_7,High_Temp,Control,20240815,20250603,20250620,FF,5.98,5.98,5.98,85,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-18,Tank_4,Control,High_Temp,20240815,20250605,20250620,FF,8.82,8.8,8.81,86,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-10,Tank_4,Control,High_Temp,20240815,20250604,20250620,FF,1.84,1.84,1.84,87,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-23,Tank_3,Low_pH,NONE,20240723,20250606,20250620,FF,13.3,13.2,13.25,88,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-4,Tank_7,High_Temp,NONE,20240723,20250605,20250622,FF,17.2,17.2,17.2,90,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-6,Tank_6,High_Temp,NONE,20240723,20250523,20250622,FF,22.4,22.4,22.4,91,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2-26,Tank_7,High_Temp,Control,20240815,20250604,20250622,FF,13.9,13.9,13.9,92,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-16,Tank_7,High_Temp,Control,20240815,20250603,20250622,FF,8.54,8.5,8.52,93,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-17,Tank_4,Control,High_Temp,20240815,20250602,20240622,FF,8.9,8.9,8.9,94,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-3,Tank_6,High_Temp,High_Temp,20240815,20250604,20250622,FF,5.82,5.82,5.82,95,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-11,Tank_7,High_Temp,Control,20240815,20250603,20250622,FF,4.24,4.22,4.23,96,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2-24,Tank_4,Control,High_Temp,20240815,20250602,20250620,FF,7.84,7.82,7.83,89,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2-20,Tank_2,Low_pH,High_Temp,20240815,20250527,202050630,FF,2.46,2.46,2.46,2,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-1-3,Tank_5,Control,NONE,20240723,20250527,20250630,FF,7.18,7.16,7.17,3,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-2-25,Tank_2,Low_pH,NONE,20240723,20250523,202050630,FF,1.69,1.68,1.685,4,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-5-10,Tank_7,High_Temp,NONE,20240806,20250525,202050630,FF,1.75,1.75,1.75,5,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-1,NA,NA,NONE,20240620,20250526,202050630,FF,1.91,1.89,1.9,6,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-2-22,Tank_4,Control,NONE,20240723,20250606,202050630,FF,1.95,1.94,1.945,7,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-1-24,Tank_5,Control,Control,20240815,20250528,20250702,FF,2.58,2.56,2.57,8,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-02-ENCORE-Priming-Library-Prep.md
MD-4-26,Tank_5,Control,Control,20240815,20250529,20250702,FF,3.2,3.2,3.2,9,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-02-ENCORE-Priming-Library-Prep.md
MD-4-2,Tank_2,Low_pH,High_Temp,20240815,20250524,20250702,FF,4.74,4.72,4.73,10,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-02-ENCORE-Priming-Library-Prep.md
MD-4-13,Tank_5,Control,NONE,20240723,20250526,20250702,FF,4.16,4.16,4.16,11,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-02-ENCORE-Priming-Library-Prep.md
MD-2-18,Tank_5,Control,Control,20240815,20250530,20250702,FF,2.42,2.42,2.42,12,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-02-ENCORE-Priming-Library-Prep.md
MD-1-26,Tank_7,High_Temp,Control,20240815,20250603,20250702,FF,2.26,2.26,2.26,13,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-02-ENCORE-Priming-Library-Prep.md
MD-1-18,Tank_3,Low_pH,Control,20240815,20250529,20250706,FF,5.34,5.3,5.32,15,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-06-ENCORE-Priming-Library-Prep.md
MD-5-7,Tank_6,High_Temp,High_Temp,20240815,20250531,20250706,FF,6.1,6.08,6.09,16,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-06-ENCORE-Priming-Library-Prep.md
MD-1-16,Tank_6,High_Temp,High_Temp,20240815,20250530,20250706,FF,3.34,3.34,3.34,17,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-06-ENCORE-Priming-Library-Prep.md
MD-5-14,Tank_4,Control,NONE,20240723,20240523,20250706,FF,7.44,7.42,7.43,18,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-06-ENCORE-Priming-Library-Prep.md
MD-1-11,Tank_2,Low_pH,NONE,20240723,20250529,20250617,FF,6.14,6.12,6.13,19,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-06-ENCORE-Priming-Library-Prep.md
MD-4-9,Tank_2,Low_pH,NONE,20240723,20250527,20250706,FF,3.64,3.62,3.63,20,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-06-ENCORE-Priming-Library-Prep.md
MD-1-21,Tank_6,High_Temp,NONE,20240806,20250525,20250706,FF,5.58,5.56,5.57,21,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-06-ENCORE-Priming-Library-Prep.md
MD-2-12,Tank_7,High_Temp,NONE,20240806,20250528,20250706,FF,6.5,6.48,6.49,22,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-06-ENCORE-Priming-Library-Prep.md
MD-4-24,Tank_3,Low_pH,Control,20240815,20250524,202050630,FF,5.74,5.68,5.71,1,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/c1d886113744a6289cc43f2401df9cad9cf41e8c/_posts/2025-06-30-ENCORE-Priming-Library-Prep.md
MD-5-19,Tank_4,Control,High_Temp,20240815,20250602,20250708,FF,4.62,4.62,4.62,25,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-06-08-ENCORE-Priming-Library-Prep.md
MD-1-15,Tank_6,High_Temp,NONE,20240723,20250523,20250708,FF,6.5,6.1,6.3,24,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-06-08-ENCORE-Priming-Library-Prep.md
MD-1-19,Tank_5,Control,NONE,20240723,20250605,20250708,FF,4.54,4.52,4.53,23,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-06-08-ENCORE-Priming-Library-Prep.md
MD-4-21,Tank_2,Low_pH,High_Temp,20240815,20250524,20250630,FF,19.1,19,19.05,1,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/c1d886113744a6289cc43f2401df9cad9cf41e8c/_posts/2025-06-30-ENCORE-Priming-Library-Prep.md
MD-5-6,Tank_5,Control,NONE,20240806,20250528,20250630,FF,17.2,17.1,17.15,2,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/c1d886113744a6289cc43f2401df9cad9cf41e8c/_posts/2025-06-30-ENCORE-Priming-Library-Prep.md
MD-2-23,Tank_3,Low_pH,NONE,20240723,20250529,20250630,FF,1.16,1.16,1.16,7,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/c1d886113744a6289cc43f2401df9cad9cf41e8c/_posts/2025-06-30-ENCORE-Priming-Library-Prep.md
MD-2-8,Tank_5,Control,NONE,20240806,20250529,20250630,FF,6.08,6.08,6.08,58,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/c1d886113744a6289cc43f2401df9cad9cf41e8c/_posts/2025-06-30-ENCORE-Priming-Library-Prep.md
MD-5,NA,NA,NONE,20240620,20250605,20250715,FF,5.34,5.32,5.33,28,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/8dbcc97cf3facfa2982b3fdd22a16c5282cf4446/_posts/2025-07-15-ENCORE-Priming-Library-Prep.md
MD-1-4,Tank_2,Low_pH,High_Temp,20240815,20250526,20250630,FF,18.7,18.6,18.65,85,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/c1d886113744a6289cc43f2401df9cad9cf41e8c/_posts/2025-06-30-ENCORE-Priming-Library-Prep.md
