Sample.ID,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date.Sampled,Replicate.Number,Timepoint,Date_extraction,Box location after Extraction,Initials,Elution_volume ul,RNA_QBIT_1,RNA_QBIT_2,AVG_RNA_QBIT,Gel_image_name,Link_to_Notebook,Comments,Comments 2
MD-2-1,Tank_7,High_Temp,NONE,20240723,R2,TP2,20250526,-80 top shelf,FF,80,29.4,29.4,29.4,Gel_DNA_RNA_26May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-26-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-2-23,Tank_3,Low_pH,NONE,20240723,R1,TP2,20250529,-80 top shelf,FS,80,10.2,10.1,10.15,Gel_DNA_RNA_29May2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-4/,Saved a DNA aliquot for QBIT (QC written on tube) . First round of extraction didn't work https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-3/,
MD-2-4,Tank_6,High_Temp,NONE,20240723,R1,TP2,20250523,-80 top shelf,FS,80,10.2,10.1,10.5,Gel_DNA_RNA_23May2025,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming/,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-4-4,Tank_7,High_Temp,NONE,20240723,R2,TP2,20250605,-80 top shelf,FF,80,11.6,11.4,11.5,GEL_DNA_RNA2_05_06_June2025_FF_PP.png,Florence_Putnam_Lab_Notebook/_posts/2025-06-05-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-4-6,Tank_6,High_Temp,NONE,20240723,R1,TP2,20250523,-80 top shelf,FS,80,10.2,9.8,10,Gel_DNA_RNA_23May2025,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming/,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-5-16,Tank_6,High_Temp,NONE,20240723,R1,TP2,20250523,-80 top shelf,FF,100,15,14.4,14.7,Gel2_DNA_RNA_23May2026_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-23-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-5-8,Tank_7,High_Temp,NONE,20240723,R2,TP2,20250606,-80 top shelf,FF/NC,80,REDONE BY NC BUT STILL TOO LOW,,,Gel_DNA_RNA_09June2025_NC.jpg,https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/master/_posts/2025-06-09-ENCORE-DNA-RNA-Re-extractions.md,Re-extract if unable to use in Library Prep,
MD-1-11,Tank_2,Low_pH,NONE,20240723,R2,TP2,20250529,-80 top shelf,FS,80,12.3,12.4,12.35,Gel_DNA_RNA_29May2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-4/,Saved a DNA aliquot for QBIT (QC written on tube) . First round of extraction didn't work https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-3/,
MD-1-20,Tank_3,Low_pH,NONE,20240723,R1,TP2,20250527,-80 top shelf,FS,80,10.6,10.1,10.35,Gel_DNA_RNA_27May2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-3/,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-2-25,Tank_2,Low_pH,NONE,20240723,R2,TP2,20250523,-80 top shelf,FF/NC,100,-,11.4,11.4,Gel2_DNA_RNA_23May2026_FF/ Gel_DNA_RNA_06June2025_NC1,Florence_Putnam_Lab_Notebook/_posts/2025-05-23-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook / https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/master/_posts/2025-06-06-ENCORE-DNA-RNA-Re-extractions.md ,Saved a DNA aliquot for QBIT (QC written on tube) plus DNA Qbit read when extracted for the second time,
MD-4-12,Tank_3,Low_pH,NONE,20240723,R1,TP2,20250523,-80 top shelf,FF/NC,100,4,-,4,Gel2_DNA_RNA_23May2026_FF/ Gel_DNA_RNA_06June2025_NC1,Florence_Putnam_Lab_Notebook/_posts/2025-05-23-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,Saved a DNA aliquot for QBIT (QC written on tube) plus DNA Qbit read when extracted for the second time,
MD-4-9,Tank_2,Low_pH,NONE,20240723,R2,TP2,20250527,-80 top shelf,FS,80,16,15.8,15.9,Gel_DNA_RNA_27May2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-3/,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-5-23,Tank_3,Low_pH,NONE,20240723,R1,TP2,20250606,-80 top shelf,FF/PP,80,12.8,12.4,12.6,GEL_DNA_RNA_05_06_June2025_FF_PP.png,Florence_Putnam_Lab_Notebook/_posts/2025-06-05-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-5-26,Tank_2,Low_pH,NONE,20240723,R2,TP2,20250526,-80 top shelf,FF,80,10.6,-,10.6,Gel_DNA_RNA_26May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-24-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-1-14,Tank_5,Control,NONE,20240806,R2,TP3,20250528,-80 top shelf,FF,80,20,19.2,19.6,Gel_DNA_RNA_28May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-28-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-1-2,Tank_4,Control,NONE,20240806,R1,TP3,20250528,-80 top shelf,FF,80,20.2,19.6,19.9,Gel_DNA_RNA_28May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-28-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-2-15,Tank_4,Control,NONE,20240806,R1,TP3,20250529,-80 top shelf,FF,80,18.4,18.2,18.3,Gel_DNA_RNA_29May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-29-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-2-8,Tank_5,Control,NONE,20240806,R2,TP3,20250529,-80 top shelf,FF,80,13.6,13.6,13.6,Gel_DNA_RNA_29May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-29-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-4-19,Tank_4,Control,NONE,20240806,R1,TP3,20250606,-80 top shelf,FF/PP,80,40.8,39.8,40.3,GEL_DNA_RNA_05_06_June2025_FF_PP.png,Florence_Putnam_Lab_Notebook/_posts/2025-06-05-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-4-20,Tank_5,Control,NONE,20240806,R2,TP3,20250528,-80 top shelf,FF,80,13,11.6,12.3,Gel_DNA_RNA_28May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-28-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-5-24,Tank_4,Control,NONE,20240806,R1,TP3,20250527,-80 top shelf,FF/NC,80,45.4,49.4,47.4,Gel_DNA_RNA_27May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-27-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-5-6,Tank_5,Control,NONE,20240806,R2,TP3,20250528,-80 top shelf,FF,80,15.4,14.8,15.1,Gel_DNA_RNA_28May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-28-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-1-21,Tank_6,High_Temp,NONE,20240806,R2,TP3,20250525,-80 top shelf,FF,80,56.1,55.5,30.2,Gel_DNA_RNA_25May2025_FF,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/4068f91eeccec460ef74c2a1c7617f3a85335b5d/_posts/2025-05-25-ENCORE-Priming-RNA-DNA-Extractions.md,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-1-22,Tank_7,High_Temp,NONE,20240806,R1,TP3,20250527,-80 top shelf,FF/NC,80,27.2,28.8,28,Gel_DNA_RNA_06June2025_NC,https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/master/_posts/2025-06-06-ENCORE-DNA-RNA-Re-extractions.md ,,
MD-2-12,Tank_7,High_Temp,NONE,20240806,R1,TP3,20250528,-80 top shelf,FF,80,18.2,17.2,17.7,Gel_DNA_RNA_28May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-28-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-2-14,Tank_6,High_Temp,NONE,20240806,R2,TP3,20250529,-80 top shelf,FF,80,33,33.2,33.1,Gel_DNA_RNA_29May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-29-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-4-18,Tank_7,High_Temp,NONE,20240806,R1,TP3,20250529,-80 top shelf,FF,80,33.8,33.6,33.7,Gel_DNA_RNA_29May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-29-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-4-23,Tank_6,High_Temp,NONE,20240806,R2,TP3,20250528,-80 top shelf,FF,80,13.6,12.8,13.2,Gel_DNA_RNA_28May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-28-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-5-10,Tank_7,High_Temp,NONE,20240806,R1,TP3,20250525,-80 top shelf,FF,80,34.5,33.7,34.1,Gel_DNA_RNA_25May2025_FF,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/4068f91eeccec460ef74c2a1c7617f3a85335b5d/_posts/2025-05-25-ENCORE-Priming-RNA-DNA-Extractions.md,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-5-15,Tank_6,High_Temp,NONE,20240806,R2,TP3,20250525,-80 top shelf,FF,80,10.2,-,10.2,Gel_DNA_RNA_25May2025_FF,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/4068f91eeccec460ef74c2a1c7617f3a85335b5d/_posts/2025-05-25-ENCORE-Priming-RNA-DNA-Extractions.md,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-1-6,Tank_2,Low_pH,NONE,20240806,R2,TP3,20250529,-80 top shelf,FF,80,36.6,36.4,36.5,Gel_DNA_RNA_29May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-29-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-1-8,Tank_3,Low_pH,NONE,20240806,R1,TP3,20250529,-80 top shelf,FF/NC,80,25.4,21.6,23.5,Gel_DNA_RNA_29May2025_FF/ Gel_DNA_RNA_06June2025_NC,Florence_Putnam_Lab_Notebook/_posts/2025-05-29-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook / https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/master/_posts/2025-06-06-ENCORE-DNA-RNA-Re-extractions.md ,Saved a DNA aliquot for QBIT (QC written on tube) plus DNA Qbit read when extracted for the second time,
MD-2-10,Tank_3,Low_pH,NONE,20240806,R1,TP3,20250528,-80 top shelf,FF,80,10.8,10.4,10.6,Gel_DNA_RNA_28May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-28-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-2-11,acclimation,acclimation,NONE,20240709,R2,TP1,20250526,-80 top shelf,FS,80,23,23,23,Gel_DNA_RNA_26May2025,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-2/,Saved a DNA aliquot for QBIT (QC written on tube) ,Sample not needed for molecular analysis
MD-2-2,Tank_2,Low_pH,NONE,20240806,R2,TP3,20250528,-80 top shelf,FF,80,10.8,10,10.4,Gel_DNA_RNA_28May2025_FF,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/c9243fb78bd3fcc269d4aecf0918a2c3ea706042/_posts/2025-05-28-ENCORE-Priming-RNA-DNA-Extractions.md,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-4-25,Tank_3,Low_pH,NONE,20240806,R1,TP3,20250529,-80 top shelf,FF,80,18.2,18.4,18.3,Gel_DNA_RNA_29May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-29-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-4-5,Tank_2,Low_pH,NONE,20240806,R2,TP3,20250527,-80 top shelf,FF/NC,80,40.8,42.6,41.7,Gel_DNA_RNA_06June2025_NC,https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/eb867c6b4f24ae498b1aa2fc337ebe1347d081ec/_posts/2025-06-06-ENCORE-DNA-RNA-Re-extractions.md,Saved a DNA aliquot for QBIT (QC written on tube) plus DNA Qbit read when extracted for the second time,
MD-5-1,Tank_2,Low_pH,NONE,20240806,R2,TP3,20250529,-80 top shelf,FF,80,18.6,16.6,17.6,Gel_DNA_RNA_29May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-29-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-5-13,Tank_3,Low_pH,NONE,20240806,R1,TP3,20250525,-80 top shelf,FF,80,36.6,35.4,36,Gel_DNA_RNA_25May2025_FF,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/4068f91eeccec460ef74c2a1c7617f3a85335b5d/_posts/2025-05-25-ENCORE-Priming-RNA-DNA-Extractions.md,,
MD-1-24,Tank_5,Control,Control,20240815,R2,TP4,20250528,-80 top shelf,FF,80,20.2,19.6,19.9,Gel_DNA_RNA_28May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-28-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-1-25,Tank_4,Control,High_Temp,20240815,R2,TP4,20250602,-80 top shelf,FS,80,10.8,10.8,10.8,Gel_DNA_RNA_02June2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-5/,,
MD-1-7,Tank_4,Control,High_Temp,20240815,R2,TP4,20250604,-80 top shelf,NC,100,24.8,30.4,27.6,Gel_DNA_RNA_04June2025_NC,https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/master/_posts/2025-06-04-ENCORE-DNA-RNA-Extractions.md,,
MD-1-9,Tank_5,Control,Control,20240815,R1,TP4,20250530,-80 top shelf,FF,80,39.8,39.4,39.6,Gel_DNA_RNA_30May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-30-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-2-18,Tank_5,Control,Control,20240815,R2,TP4,20250530,-80 top shelf,FF,80,36.2,36,36.1,Gel_DNA_RNA_30May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-30-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-2-19,Tank_4,Control,High_Temp,20240815,R2,TP4,20250531,-80 top shelf,FF,80,28.8,28.6,28.7,Gel_DNA_RNA_31May2025_FF,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/c9243fb78bd3fcc269d4aecf0918a2c3ea706042/_posts/2025-05-31-ENCORE-Priming-RNA-DNA-Extractions.md,,
MD-2-24,Tank_4,Control,High_Temp,20240815,R2,TP4,20250602,-80 top shelf,FS,80,11.2,11.2,11.2,Gel_DNA_RNA_02June2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-5/,,
MD-2-6,Tank_5,Control,Control,20240815,R1,TP4,20250529,-80 top shelf,FS,80,16.1,16,16.05,Gel_DNA_RNA_29May2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-4/,,
MD-4-10,Tank_4,Control,High_Temp,20240815,R2,TP3,20250604,-80 top shelf,NC,100,17.8,23.4,20.6,Gel_DNA_RNA_04June2025_NC,https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/master/_posts/2025-06-04-ENCORE-DNA-RNA-Extractions.md ,,
MD-4-17,Tank_4,Control,High_Temp,20240815,R2,TP4,20250602,-80 top shelf,FS,80,11.2,11,11.1,Gel_DNA_RNA_02June2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-5/,,
MD-4-2,Tank_5,Control,Control,20240815,R1,TP4,20250529,-80 top shelf,FS,80,10.4,10.2,10.3,Gel_DNA_RNA_29May2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-4/,,
MD-4-26,Tank_5,Control,Control,20240815,R2,TP4,20250529,-80 top shelf,FS,80,11.5,11.3,11.4,Gel_DNA_RNA_29May2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-4/,,
MD-5-18,Tank_4,Control,High_Temp,20240815,R1,TP4,20250605,-80 top shelf,FF,80,14.4,13.4,13.9,Gel_DNA_RNA_05_06_June2025_FF_PP.png,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/c9243fb78bd3fcc269d4aecf0918a2c3ea706042/_posts/2025-06-05-ENCORE-Priming-RNA-DNA-Extractions.md,,
MD-5-19,Tank_4,Control,High_Temp,20240815,R2,TP4,20250602,-80 top shelf,FS,80,12,12,12,Gel_DNA_RNA_02June2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-5/,,
MD-5-21,Tank_5,Control,Control,20240815,R1,TP4,20250529,-80 top shelf,FS,80,17.5,17,17.25,Gel_DNA_RNA_29May2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-4/,,
MD-5-9,Tank_5,Control,Control,20240815,R2,TP4,20250529,-80 top shelf,NC,100,11.4,11.4,11.4,Gel_DNA_RNA_29May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-29-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-1-12,Tank_7,High_Temp,Control,20240815,R2,TP4,20250603,-80 top shelf,NC,100,15,15.6,15.2,Gel_DNA_RNA_03June2025_NC,https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/master/_posts/2025-06-03-ENCORE-DNA-RNA-Extractions.md ,,
MD-1-16,Tank_6,High_Temp,High_Temp,20240815,R1,TP4,20250530,-80 top shelf,NC,100,10.6,10.2,10.4,Gel_DNA_RNA_30May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-30-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-1-17,Tank_6,High_Temp,High_Temp,20240815,R2,TP4,20250530,-80 top shelf,NC,100,16.6,16.8,16.7,Gel_DNA_RNA_30May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-30-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-1-26,Tank_7,High_Temp,Control,20240815,R2,TP4,20250603,-80 top shelf,FS,80,9.26,9.21,9.23,Gel_DNA_RNA_03June2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-6/,,
MD-2-13,Tank_6,High_Temp,High_Temp,20240815,R2,TP4,20250531,-80 top shelf,FF/NC,80,6.68,6.42,6.55,Gel_DNA_RNA_09June2025_NC.jpg,https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/master/_posts/2025-06-09-ENCORE-DNA-RNA-Re-extractions.md,,
MD-2-26,Tank_7,High_Temp,Control,20240815,R2,TP4,20250604,-80 top shelf,NC,100,14.8,11.2,13,Gel_DNA_RNA_04June2025_NC,https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/master/_posts/2025-06-04-ENCORE-DNA-RNA-Extractions.md ,,
MD-2-3,Tank_6,High_Temp,High_Temp,20240815,R1,TP4,20250531,-80 top shelf,FF,80,15,14.6,14.8,Gel_DNA_RNA_31May2025_FF,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/c9243fb78bd3fcc269d4aecf0918a2c3ea706042/_posts/2025-05-31-ENCORE-Priming-RNA-DNA-Extractions.md,,
