"","fragment_ID","micromol.cm2.h","Priming.Treatment","Secondary.Treatment","Genotype","Species","Timepoint","measure"
"31","DL-2-14",-0.590808796587742,"Control","Heat","2","DL","TP3","Resp"
"32","DL-2-14",-0.590808796587742,"Control","Heat","2","DL","TP3","Resp"
"33","DL-2-16",-0.525168252392358,"pH","Control","2","DL","TP3","Resp"
"34","DL-2-19",-0.490060140610546,"pH","Control","2","DL","TP3","Resp"
"35","DL-2-19",-0.490060140610546,"pH","Control","2","DL","TP3","Resp"
"36","DL-2-19",-0.490060140610546,"pH","Control","2","DL","TP3","Resp"
"37","DL-2-2",-0.566531265397819,"Control","Heat","2","DL","TP3","Resp"
"38","DL-2-20",-0.475035940167782,"pH","Control","2","DL","TP3","Resp"
"39","DL-2-20",-0.475035940167782,"pH","Control","2","DL","TP3","Resp"
"40","DL-2-22",-0.610939915834302,"Heat","Heat","2","DL","TP3","Resp"
"41","DL-2-22",-0.610939915834302,"Heat","Heat","2","DL","TP3","Resp"
"42","DL-2-22",-0.610939915834302,"Heat","Heat","2","DL","TP3","Resp"
"43","DL-2-25",-0.693266317042435,"Control","Control","2","DL","TP3","Resp"
"44","DL-2-4",-0.535742867769038,"Control","Heat","2","DL","TP3","Resp"
"45","DL-2-7",-0.552947252703476,"Heat","Control","2","DL","TP3","Resp"
"46","DL-2-8",-0.403579135385824,"pH","Heat","2","DL","TP3","Resp"
"47","DL-2-8",-0.403579135385824,"pH","Heat","2","DL","TP3","Resp"
"48","DL-2-8",-0.403579135385824,"pH","Heat","2","DL","TP3","Resp"
"49","DL-3-11",-0.508605858687289,"pH","Control","3","DL","TP3","Resp"
"50","DL-3-11",-0.508605858687289,"pH","Control","3","DL","TP3","Resp"
"51","DL-3-14",-0.380972691985158,"Control","Control","3","DL","TP3","Resp"
"52","DL-3-16",-0.565790894409144,"pH","Control","3","DL","TP3","Resp"
"53","DL-3-16",-0.565790894409144,"pH","Control","3","DL","TP3","Resp"
"54","DL-3-16",-0.565790894409144,"pH","Control","3","DL","TP3","Resp"
"55","DL-3-17",-0.785045265389674,"pH","Heat","3","DL","TP3","Resp"
"56","DL-3-17",-0.785045265389674,"pH","Heat","3","DL","TP3","Resp"
"57","DL-3-19",-0.459161514369517,"Control","Heat","3","DL","TP3","Resp"
"58","DL-3-24",-0.701685237439714,"Control","Control","3","DL","TP3","Resp"
"59","DL-3-24",-0.701685237439714,"Control","Control","3","DL","TP3","Resp"
"60","DL-3-4",-0.434562098766466,"Control","Heat","3","DL","TP3","Resp"
"61","DL-3-5",-0.395905532574638,"Heat","Control","3","DL","TP3","Resp"
"62","DL-3-9",-0.363541046256674,"pH","Heat","3","DL","TP3","Resp"
"63","DL-4-1",-1.22769205087107,"Control","Heat","4","DL","TP3","Resp"
"64","DL-4-1",-1.22769205087107,"Control","Heat","4","DL","TP3","Resp"
"65","DL-4-11",-1.02979422131663,"pH","Heat","4","DL","TP3","Resp"
"66","DL-4-12",-0.699504010680734,"pH","Control","4","DL","TP3","Resp"
"67","DL-4-17",-0.958791845358997,"pH","Heat","4","DL","TP3","Resp"
"68","DL-4-17",-0.958791845358997,"pH","Heat","4","DL","TP3","Resp"
"69","DL-4-17",-0.958791845358997,"pH","Heat","4","DL","TP3","Resp"
"70","DL-4-17",-0.958791845358997,"pH","Heat","4","DL","TP3","Resp"
"71","DL-4-18",-0.739604571226251,"Control","Heat","4","DL","TP3","Resp"
"72","DL-4-18",-0.739604571226251,"Control","Heat","4","DL","TP3","Resp"
"73","DL-4-19",-0.708914197690441,"Heat","Control","4","DL","TP3","Resp"
"74","DL-4-19",-0.708914197690441,"Heat","Control","4","DL","TP3","Resp"
"75","DL-4-19",-0.708914197690441,"Heat","Control","4","DL","TP3","Resp"
"76","DL-4-2",-0.736168477795278,"Control","Heat","4","DL","TP3","Resp"
"77","DL-4-20",-0.665248918013966,"Heat","Control","4","DL","TP3","Resp"
"78","DL-4-20",-0.665248918013966,"Heat","Control","4","DL","TP3","Resp"
"79","DL-4-21",-0.631180546209019,"Control","Control","4","DL","TP3","Resp"
"80","DL-4-22",-0.755113719482631,"pH","Control","4","DL","TP3","Resp"
"81","DL-4-22",-0.755113719482631,"pH","Control","4","DL","TP3","Resp"
"82","DL-4-23",-0.678301718056054,"Control","Control","4","DL","TP3","Resp"
"83","DL-4-24",-0.789178515977934,"pH","Heat","4","DL","TP3","Resp"
"84","DL-4-24",-0.789178515977934,"pH","Heat","4","DL","TP3","Resp"
"85","DL-4-3",-0.621361029509347,"Control","Control","4","DL","TP3","Resp"
"86","DL-4-3",-0.621361029509347,"Control","Control","4","DL","TP3","Resp"
"87","MD-1-10",-0.392067340130075,"pH","Control","1","MD","TP3","Resp"
"88","MD-1-10",-0.392067340130075,"pH","Control","1","MD","TP3","Resp"
"89","MD-1-12",-0.343820981071079,"Heat","Control","1","MD","TP3","Resp"
"90","MD-1-12",-0.343820981071079,"Heat","Control","1","MD","TP3","Resp"
"91","MD-1-12",-0.343820981071079,"Heat","Control","1","MD","TP3","Resp"
"92","MD-1-13",-0.467833346051638,"pH","Control","1","MD","TP3","Resp"
"93","MD-1-14",-0.260104172216013,"Control","Control","1","MD","TP3","Resp"
"94","MD-1-16",-0.38758532908117,"Heat","Control","1","MD","TP3","Resp"
"95","MD-1-16",-0.38758532908117,"Heat","Control","1","MD","TP3","Resp"
"96","MD-1-17",-0.179432132836563,"Heat","Heat","1","MD","TP3","Resp"
"97","MD-1-17",-0.179432132836563,"Heat","Heat","1","MD","TP3","Resp"
"98","MD-1-17",-0.179432132836563,"Heat","Heat","1","MD","TP3","Resp"
"99","MD-1-18",-0.279163169620716,"pH","Control","1","MD","TP3","Resp"
"100","MD-1-18",-0.279163169620716,"pH","Control","1","MD","TP3","Resp"
"101","MD-1-2",-0.368819224828179,"Control","Heat","1","MD","TP3","Resp"
"102","MD-1-2",-0.368819224828179,"Control","Heat","1","MD","TP3","Resp"
"103","MD-1-21",-0.321887166141668,"Heat","Control","1","MD","TP3","Resp"
"104","MD-1-21",-0.321887166141668,"Heat","Control","1","MD","TP3","Resp"
"105","MD-1-21",-0.321887166141668,"Heat","Control","1","MD","TP3","Resp"
"106","MD-1-22",-0.281060723563157,"Heat","Heat","1","MD","TP3","Resp"
"107","MD-1-22",-0.281060723563157,"Heat","Heat","1","MD","TP3","Resp"
"108","MD-1-22",-0.281060723563157,"Heat","Heat","1","MD","TP3","Resp"
"109","MD-1-24",-0.372118299840727,"Control","Control","1","MD","TP3","Resp"
"110","MD-1-24",-0.372118299840727,"Control","Control","1","MD","TP3","Resp"
"111","MD-1-25",-0.325933008342615,"Control","Heat","1","MD","TP3","Resp"
"112","MD-1-4",-0.186352955971247,"pH","Heat","1","MD","TP3","Resp"
"113","MD-1-6",-0.40879447823836,"pH","Control","1","MD","TP3","Resp"
"114","MD-1-6",-0.40879447823836,"pH","Control","1","MD","TP3","Resp"
"115","MD-1-6",-0.40879447823836,"pH","Control","1","MD","TP3","Resp"
"116","MD-1-7",-0.347741179877543,"Control","Heat","1","MD","TP3","Resp"
"117","MD-1-8",-0.600313143902322,"pH","Heat","1","MD","TP3","Resp"
"118","MD-2-10",-0.733027610929339,"pH","Heat","2","MD","TP3","Resp"
"119","MD-2-10",-0.733027610929339,"pH","Heat","2","MD","TP3","Resp"
"120","MD-2-12",-0.326229735605178,"Heat","Heat","2","MD","TP3","Resp"
"121","MD-2-12",-0.326229735605178,"Heat","Heat","2","MD","TP3","Resp"
"122","MD-2-12",-0.326229735605178,"Heat","Heat","2","MD","TP3","Resp"
"123","MD-2-14",-0.281493244587636,"Heat","Control","2","MD","TP3","Resp"
"124","MD-2-15",-0.276712281443497,"Control","Heat","2","MD","TP3","Resp"
"125","MD-2-17",-0.610671417509214,"pH","Heat","2","MD","TP3","Resp"
"126","MD-2-17",-0.610671417509214,"pH","Heat","2","MD","TP3","Resp"
"127","MD-2-19",-0.339077763720163,"Control","Heat","2","MD","TP3","Resp"
"128","MD-2-20",-0.277099845617122,"pH","Heat","2","MD","TP3","Resp"
"129","MD-2-20",-0.277099845617122,"pH","Heat","2","MD","TP3","Resp"
"130","MD-2-20",-0.277099845617122,"pH","Heat","2","MD","TP3","Resp"
"131","MD-2-20",-0.277099845617122,"pH","Heat","2","MD","TP3","Resp"
"132","MD-2-24",-0.176157179935367,"Control","Heat","2","MD","TP3","Resp"
"133","MD-2-24",-0.176157179935367,"Control","Heat","2","MD","TP3","Resp"
"134","MD-2-3",-0.232426848758127,"Heat","Control","2","MD","TP3","Resp"
"135","MD-2-3",-0.232426848758127,"Heat","Control","2","MD","TP3","Resp"
"136","MD-2-6",-0.223140046009557,"Control","Control","2","MD","TP3","Resp"
"137","MD-2-6",-0.223140046009557,"Control","Control","2","MD","TP3","Resp"
"138","MD-2-7",-0.20181418733639,"Heat","Heat","2","MD","TP3","Resp"
"139","MD-2-8",-0.165122127793819,"Control","Control","2","MD","TP3","Resp"
"140","MD-4-10",-0.39323150550034,"Control","Heat","4","MD","TP3","Resp"
"141","MD-4-10",-0.39323150550034,"Control","Heat","4","MD","TP3","Resp"
"142","MD-4-11",-0.428479202857655,"Heat","Control","4","MD","TP3","Resp"
"143","MD-4-17",-0.378528082959195,"Control","Heat","4","MD","TP3","Resp"
"144","MD-4-18",-0.276444513236903,"Heat","Heat","4","MD","TP3","Resp"
"145","MD-4-18",-0.276444513236903,"Heat","Heat","4","MD","TP3","Resp"
"146","MD-4-18",-0.276444513236903,"Heat","Heat","4","MD","TP3","Resp"
"147","MD-4-19",-0.212176494393401,"Control","Heat","4","MD","TP3","Resp"
"148","MD-4-19",-0.212176494393401,"Control","Heat","4","MD","TP3","Resp"
"149","MD-4-2",-0.24477477997526,"Control","Control","4","MD","TP3","Resp"
"150","MD-4-2",-0.24477477997526,"Control","Control","4","MD","TP3","Resp"
"151","MD-4-20",-0.211112417684344,"Control","Control","4","MD","TP3","Resp"
"152","MD-4-21",-0.254022265821437,"pH","Heat","4","MD","TP3","Resp"
"153","MD-4-23",-0.197444956385574,"Heat","Control","4","MD","TP3","Resp"
"154","MD-4-23",-0.197444956385574,"Heat","Control","4","MD","TP3","Resp"
"155","MD-4-24",-0.144282866980581,"pH","Control","4","MD","TP3","Resp"
"156","MD-4-25",-0.311769224925227,"pH","Heat","4","MD","TP3","Resp"
"157","MD-4-25",-0.311769224925227,"pH","Heat","4","MD","TP3","Resp"
"158","MD-4-26",-0.330056651958324,"Control","Control","4","MD","TP3","Resp"
"159","MD-4-5",-0.434855421376315,"pH","Control","4","MD","TP3","Resp"
"160","MD-4-5",-0.434855421376315,"pH","Control","4","MD","TP3","Resp"
"161","MD-4-5",-0.434855421376315,"pH","Control","4","MD","TP3","Resp"
"162","MD-4-5",-0.434855421376315,"pH","Control","4","MD","TP3","Resp"
"163","MD-4-7",-0.479091462505223,"Heat","Heat","4","MD","TP3","Resp"
"164","MD-5-1",-0.224467723026006,"pH","Control","5","MD","TP3","Resp"
"165","MD-5-10",-0.277666212064907,"Heat","Heat","5","MD","TP3","Resp"
"166","MD-5-10",-0.277666212064907,"Heat","Heat","5","MD","TP3","Resp"
"167","MD-5-10",-0.277666212064907,"Heat","Heat","5","MD","TP3","Resp"
"168","MD-5-11",-0.273270786440045,"Heat","Heat","5","MD","TP3","Resp"
"169","MD-5-11",-0.273270786440045,"Heat","Heat","5","MD","TP3","Resp"
"170","MD-5-11",-0.273270786440045,"Heat","Heat","5","MD","TP3","Resp"
"171","MD-5-13",-0.26477676898532,"pH","Heat","5","MD","TP3","Resp"
"172","MD-5-15",-0.529231569700126,"Heat","Control","5","MD","TP3","Resp"
"173","MD-5-20",-0.49540723638743,"Heat","Heat","5","MD","TP3","Resp"
"174","MD-5-20",-0.49540723638743,"Heat","Heat","5","MD","TP3","Resp"
"175","MD-5-20",-0.49540723638743,"Heat","Heat","5","MD","TP3","Resp"
"176","MD-5-21",-0.30953067569135,"Control","Control","5","MD","TP3","Resp"
"177","MD-5-21",-0.30953067569135,"Control","Control","5","MD","TP3","Resp"
"178","MD-5-22",-0.388000977109582,"pH","Heat","5","MD","TP3","Resp"
"179","MD-5-24",-0.601247591719602,"Control","Heat","5","MD","TP3","Resp"
"180","MD-5-25",-0.423920385603116,"pH","Heat","5","MD","TP3","Resp"
"181","MD-5-25",-0.423920385603116,"pH","Heat","5","MD","TP3","Resp"
"182","MD-5-25",-0.423920385603116,"pH","Heat","5","MD","TP3","Resp"
"183","MD-5-4",-0.214565669853716,"Heat","Control","5","MD","TP3","Resp"
"184","MD-5-6",-0.440701371053752,"Control","Control","5","MD","TP3","Resp"
"185","MD-5-9",-0.321640110166976,"Control","Control","5","MD","TP3","Resp"
"186","MD-5-9",-0.321640110166976,"Control","Control","5","MD","TP3","Resp"
