Date,fragment_ID,Species,box,Chamber.Channel,Channel,Bin,Run,Temp.Cat,Tank,Treatment,Chamber.Vol.L,Notes,
20240723,MD-1-18,Madracis decactis,3,9,1,2,9,27,3,pH,0.6,,
20240723,MD-2-23,Madracis decactis,3,10,2,2,9,27,3,pH,0.6,,
20240723,BLANK-9,BLANK,3,11,3,2,9,27,3,pH,0.6,,
20240723,DL-4-22,Diploria labyrinthiformis,3,12,4,2,9,27,3,pH,0.6,,
20240723,DL-2-8,Diploria labyrinthiformis,1,1,1,1,10,27,2,pH,0.6,,
20240723,DL-4-24,Diploria labyrinthiformis,1,2,2,1,10,27,2,pH,0.6,,
20240723,DL-3-16,Diploria labyrinthiformis,1,3,3,1,10,27,2,pH,0.6,,
20240723,DL-4-17,Diploria labyrinthiformis,1,4,4,1,10,27,2,pH,0.6,,
20240723,MD-5-25,Madracis decactis,2,5,5,1,10,27,2,pH,0.6,,
20240723,DL-1-21,Diploria labyrinthiformis,2,6,6,1,10,27,2,pH,0.6,,
20240723,DL-2-19,Diploria labyrinthiformis,2,7,7,2,10,27,2,pH,0.6,,
20240723,BLANK-10,BLANK,2,8,8,2,10,27,2,pH,0.6,,
20240723,MD-2-25,Madracis decactis,3,9,9,2,10,27,2,pH,0.6,,
20240723,MD-4-5,Madracis decactis,3,10,10,2,10,27,2,pH,0.6,,
20240723,MD-1-6,Madracis decactis,3,11,11,2,10,27,2,pH,0.6,,
20240723,MD-2-20,Madracis decactis,3,12,12,2,10,27,2,pH,0.6,,
20240723,DL-4-20,Diploria labyrinthiformis,1,1,1,1,11,27,6,Heat,0.6,,
20240723,DL-2-10,Diploria labyrinthiformis,1,2,2,1,11,27,6,Heat,0.6,,
20240723,MD-5-11,Madracis decactis,1,3,3,1,11,27,6,Heat,0.6,,
20240723,MD-4-23,Madracis decactis,1,4,4,1,11,27,6,Heat,0.6,,
20240723,MD-2-3,Madracis decactis,2,5,5,1,11,27,6,Heat,0.6,,
20240723,BLANK-11,BLANK,2,6,6,1,11,27,6,Heat,0.6,,
20240723,DL-1-18,Diploria labyrinthiformis,2,7,7,2,11,27,6,Heat,0.6,,
20240723,MD-1-21,Madracis decactis,2,8,8,2,11,27,6,Heat,0.6,,
20240723,DL-3-5,Diploria labyrinthiformis,3,9,9,2,11,27,6,Heat,0.6,,
20240723,MD-1-16,Madracis decactis,3,10,10,2,11,27,6,Heat,0.6,,
20240723,DL-1-23,Diploria labyrinthiformis,3,11,11,2,11,27,6,Heat,0.6,,
20240723,MD-1-17,Madracis decactis,3,12,12,2,11,27,6,Heat,0.6,,
20240723,MD-5-20,Madracis decactis,1,1,1,1,12,27,7,Heat,0.6,,
20240723,MD-1-12,Madracis decactis,1,2,2,1,12,27,7,Heat,0.6,,
20240723,DL-3-2,Diploria labyrinthiformis,1,3,3,1,12,27,7,Heat,0.6,,
20240723,DL-3-10,Diploria labyrinthiformis,1,4,4,1,12,27,7,Heat,0.6,,
20240723,DL-2-22,Diploria labyrinthiformis,2,5,5,1,12,27,7,Heat,0.6,,
20240723,MD-1-22,Madracis decactis,2,6,6,1,12,27,7,Heat,0.6,,
20240723,MD-4-18,Madracis decactis,2,7,7,2,12,27,7,Heat,0.6,,
20240723,MD-2-12,Madracis decactis,2,8,8,2,12,27,7,Heat,0.6,,
20240723,DL-4-19,Madracis decactis,3,9,9,2,12,27,7,Heat,0.6,,
20240723,DL-1-3,Diploria labyrinthiformis,3,10,10,2,12,27,7,Heat,0.6,,
20240723,BLANK-12,BLANK,3,11,11,2,12,27,7,Heat,0.6,,
20240723,MD-5-10,Madracis decactis,3,12,12,2,12,27,7,Heat,0.6,,
