Species,Genotype,Replicate,Zip.Color,Sample.ID,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date.Sampled,Replicate.Number,Timepoint
MD,3,4,Green,MD-4-4,Tank_7,High_Temp,NONE,20240723,R2,TP2
MD,3,5,Green,MD-4-5,Tank_2,Low_pH,NONE,20240806,R2,TP3
MD,3,6,Green,MD-4-6,Tank_6,High_Temp,NONE,20240723,R1,TP2
MD,3,7,Green,MD-4-7,Tank_6,High_Temp,High_Temp,20240815,R1,TP4
MD,3,8,Green,MD-4-8,Acclimation,Acclimation,NONE,20240709,R2,TP1
MD,3,9,Green,MD-4-9,Tank_2,Low_pH,NONE,20240723,R2,TP2
MD,3,10,Green,MD-4-10,Tank_4,Control,High_Temp,20240815,R2,TP3
MD,3,11,Green,MD-4-11,Tank_7,High_Temp,Control,20240815,R1,TP4
MD,3,12,Green,MD-4-12,Tank_3,Low_pH,NONE,20240723,R1,TP2
MD,3,13,Green,MD-4-13,Tank_5,Control,NONE,20240723,R2,TP2
MD,3,14,Green,MD-4-14,Acclimation,Acclimation,NONE,20240709,R1,TP1
MD,3,15,Green,MD-4-15,Tank_2,Low_pH,High_Temp,20240815,R1,TP4
MD,3,16,Green,MD-4-16,Tank_7,High_Temp,Control,20240815,R1,NA
MD,3,17,Green,MD-4-17,Tank_4,Control,High_Temp,20240815,R2,TP4
MD,3,18,Green,MD-4-18,Tank_7,High_Temp,NONE,20240806,R1,TP3
MD,3,19,Green,MD-4-19,Tank_4,Control,NONE,20240806,R1,TP3
MD,3,20,Green,MD-4-20,Tank_5,Control,NONE,20240806,R2,TP3
MD,3,21,Green,MD-4-21,Tank_2,Low_pH,High_Temp,20240815,R2,TP4
MD,3,22,Green,MD-4-22,Tank_3,Low_pH,Control,20240815,R1,TP4
MD,3,23,Green,MD-4-23,Tank_6,High_Temp,NONE,20240806,R2,TP3
MD,3,24,Green,MD-4-24,Tank_3,Low_pH,Control,20240815,R2,TP4
MD,3,25,Green,MD-4-25,Tank_3,Low_pH,NONE,20240806,R1,TP3
MD,3,26,Green,MD-4-26,Tank_5,Control,Control,20240815,R2,TP4
NA,4,NA,NA,MD-5,NA,NA,NONE,20240620,NA,TP0
MD,4,1,Red,MD-5-1,Tank_2,Low_pH,NONE,20240806,R2,TP3
MD,4,2,Red,MD-5-2,Acclimation,Acclimation,NONE,20240709,R2,TP1
MD,4,3,Red,MD-5-3,Tank_3,Low_pH,Control,20240815,R2,TP4
MD,4,4,Red,MD-5-4,Tank_7,High_Temp,Control,20240815,R1,TP4
MD,4,5,Red,MD-5-5,Tank_5,Control,NONE,20240723,R2,TP2
MD,4,6,Red,MD-5-6,Tank_5,Control,NONE,20240806,R2,TP3
MD,4,7,Red,MD-5-7,Tank_6,High_Temp,High_Temp,20240815,R2,TP4
MD,4,8,Red,MD-5-8,Tank_7,High_Temp,NONE,20240723,R2,TP2
MD,4,9,Red,MD-5-9,Tank_5,Control,Control,20240815,R2,TP4
MD,4,10,Red,MD-5-10,Tank_7,High_Temp,NONE,20240806,R1,TP3
MD,4,11,Red,MD-5-11,Tank_6,High_Temp,High_Temp,20240815,R1,TP4
MD,4,12,Red,MD-5-12,Acclimation,Acclimation,NONE,20240709,R1,TP1
MD,4,13,Red,MD-5-13,Tank_3,Low_pH,NONE,20240806,R1,TP3
MD,4,14,Red,MD-5-14,Tank_4,Control,NONE,20240723,R1,TP2
MD,4,15,Red,MD-5-15,Tank_6,High_Temp,NONE,20240806,R2,TP3
MD,4,16,Red,MD-5-16,Tank_6,High_Temp,NONE,20240723,R1,TP2
MD,4,17,Red,MD-5-17,Tank_2,Low_pH,High_Temp,20240815,R1,TP4
MD,4,18,Red,MD-5-18,Tank_4,Control,High_Temp,20240815,R1,TP4
MD,4,19,Red,MD-5-19,Tank_4,Control,High_Temp,20240815,R2,TP4
MD,4,20,Red,MD-5-20,Tank_7,High_Temp,Control,20240815,R2,TP4
MD,4,21,Red,MD-5-21,Tank_5,Control,Control,20240815,R1,TP4
MD,4,22,Red,MD-5-22,Tank_3,Low_pH,Control,20240815,R1,TP4
MD,4,23,Red,MD-5-23,Tank_3,Low_pH,NONE,20240723,R1,TP2
MD,4,24,Red,MD-5-24,Tank_4,Control,NONE,20240806,R1,TP3
MD,4,25,Red,MD-5-25,Tank_2,Low_pH,High_Temp,20240815,R2,TP4
MD,4,26,Red,MD-5-26,Tank_2,Low_pH,NONE,20240723,R2,TP2
NA,1,NA,NA,DL-1,NA,NA,NA,NA,NA,NA
DL,1,1,Black,DL-1-1,Tank_3,Low_pH,NONE,20240806,R1,TP3
DL,1,2,Black,DL-1-2,Acclimation,Acclimation,NONE,20240709,R2,TP1
DL,1,3,Black,DL-1-3,Tank_7,High_Temp,NONE,20240723,R2,TP2
DL,1,4,Black,DL-1-4,Tank_4,Control,NONE,20240806,R1,TP3
DL,1,5,Black,DL-1-5,Tank_7,High_Temp,NONE,20240806,R1,TP3
DL,1,6,Black,DL-1-6,Tank_3,Low_pH,Control,20250815,R2,TP4
DL,1,7,Black,DL-1-7,Tank_4,Control,High_Temp,20140815,R2,TP4
DL,1,8,Black,DL-1-8,Tank_5,Control,NONE,20240723,R2,TP2
DL,1,9,Black,DL-1-9,Tank_6,High_Temp,NONE,20240723,R1,TP2
DL,1,10,Black,DL-1-10,Tank_5,Control,NONE,20240806,R2,TP3
DL,1,11,Black,DL-1-11,Tank_7,High_Temp,Control,20240815,R1,TP4
DL,1,12,Black,DL-1-12,Tank_4,Control,NONE,20240723,R1,TP2
DL,1,13,Black,DL-1-13,Tank_3,Low_pH,Control,20240815,R1,TP4
DL,1,14,Black,DL-1-14,Tank_5,Control,Control,20240815,R2,TP4
DL,1,15,Black,DL-1-15,Tank_2,Low_pH,NONE,20240723,R2,TP2
DL,1,16,Black,DL-1-16,Tank_2,Low_pH,High_Temp,20240815,R1,TP4
DL,1,17,Black,DL-1-17,Tank_2,Low_pH,High_Temp,20240815,R2,TP4
DL,1,18,Black,DL-1-18,Tank_6,High_Temp,High_Temp,20240815,R2,TP4
DL,1,19,Black,DL-1-19,Tank_4,Control,High_Temp,20240815,R2,TP4
DL,1,20,Black,DL-1-20,Tank_6,High_Temp,High_Temp,20240815,R1,TP4
DL,1,21,Black,DL-1-21,Tank_2,Low_pH,NONE,20240806,R2,TP3
DL,1,22,Black,DL-1-22,Tank_3,Low_pH,NONE,20240723,R1,TP2
DL,1,23,Black,DL-1-23,Tank_6,High_Temp,NONE,20240806,R2,TP3
DL,1,24,Black,DL-1-24,Tank_5,Control,Control,20240815,R1,TP4
DL,1,25,Black,DL-1-25,Acclimation,Acclimation,NONE,20240709,R1,TP1
DL,1,26,Black,DL-1-26,Tank_7,High_Temp,Control,20240815,R2,TP4
NA,2,NA,NA,DL-2,NA,NA,NA,NA,NA,NA
DL,2,1,Yellow,DL-2-1,Tank_3,Low_pH,NONE,20240806,R1,TP3
DL,2,2,Yellow,DL-2-2,Tank_4,Control,High_Temp,20240815,R1,TP4
DL,2,3,Yellow,DL-2-3,Tank_3,Low_pH,Control,20240815,R2,TP4
DL,2,4,Yellow,DL-2-4,Tank_4,Control,High_Temp,20240815,R2,TP4
DL,2,5,Yellow,DL-2-5,Tank_2,Low_pH,NONE,20240723,R2,TP2
DL,2,6,Yellow,DL-2-6,Acclimation,Acclimation,NONE,20240709,R1,TP1
DL,2,7,Yellow,DL-2-7,Tank_6,High_Temp,NONE,20240806,R2,TP3
DL,2,8,Yellow,DL-2-8,Tank_2,Low_pH,High_Temp,20240815,R2,TP4
DL,2,9,Yellow,DL-2-9,Tank_5,Control,NONE,20240723,R2,TP2
DL,2,10,Yellow,DL-2-10,Tank_6,High_Temp,High_Temp,20240815,R2,TP4
DL,2,11,Yellow,DL-2-11,Tank_5,Control,NONE,20240806,R2,TP3
DL,2,12,Yellow,DL-2-12,Tank_7,High_Temp,NONE,20240723,R2,TP2
DL,2,13,Yellow,DL-2-13,Tank_6,High_Temp,High_Temp,20240815,R1,TP4
DL,2,14,Yellow,DL-2-14,Tank_4,Control,NONE,20240806,R1,TP3
DL,2,15,Yellow,DL-2-15,Tank_6,High_Temp,NONE,20240723,R1,TP2
DL,2,16,Yellow,DL-2-16,Tank_2,Low_pH,NONE,20240806,R2,TP3
DL,2,17,Yellow,DL-2-17,Acclimation,Acclimation,NONE,20240709,R2,TP1
DL,2,18,Yellow,DL-2-18,Tank_4,Control,NONE,20240723,R1,TP2
DL,2,19,Yellow,DL-2-19,Tank_2,Low_pH,High_Temp,20240815,R1,TP4
DL,2,20,Yellow,DL-2-20,Tank_3,Low_pH,Control,20240815,R1,TP4
DL,2,21,Yellow,DL-2-21,Tank_3,Low_pH,NONE,20240723,R1,TP2
DL,2,22,Yellow,DL-2-22,Tank_7,High_Temp,NONE,20240806,R1,TP3
DL,2,23,Yellow,DL-2-23,Tank_7,High_Temp,Control,20240815,R2,TP4
DL,2,24,Yellow,DL-2-24,Tank_7,High_Temp,Control,20240815,R1,TP4
DL,2,25,Yellow,DL-2-25,Tank_5,Control,Control,20250815,R2,NA
DL,2,26,Yellow,DL-2-26,Tank_5,Control,Control,20240815,R1,TP4
NA,3,NA,NA,DL-3,NA,NA,NONE,20240620,NA,TP0
DL,3,1,Green,DL-3-1,Tank_5,Control,NONE,20240806,R2,TP3
NA,3,2,Green,DL-3-2,Tank_7,High_Temp,Control,20240815,R1,TP4
DL,3,3,Green,DL-3-3,Tank_4,Control,High_Temp,20240815,R1,TP4
DL,3,4,Green,DL-3-4,Tank_4,Control,NONE,20240806,R1,TP3
DL,3,5,Green,DL-3-5,Tank_6,High_Temp,NONE,20240806,R2,TP3
DL,3,6,Green,DL-3-6,Tank_4,Control,NONE,20240723,R1,TP2
DL,3,7,Green,DL-3-7,Tank_6,High_Temp,High_Temp,20240815,R2,TP4
DL,3,8,Green,DL-3-8,Tank_3,Low_pH,Control,20240815,R2,TP4
DL,3,9,Green,DL-3-9,Tank_2,Low_pH,High_Temp,20240815,R2,TP4
DL,3,10,Green,DL-3-10,Tank_7,High_Temp,Control,20240815,R2,TP4
DL,3,11,Green,DL-3-11,Tank_3,Low_pH,Control,20240815,R1,TP4
DL,3,12,Green,DL-3-12,Tank_3,Low_pH,NONE,20240723,R1,TP2
DL,3,13,Green,DL-3-13,Tank_7,High_Temp,NONE,20240723,R2,TP2
DL,3,14,Green,DL-3-14,Tank_5,Control,Control,20240815,R1,TP4
DL,3,15,Green,DL-3-15,Tank_5,Control,NONE,20240723,R2,TP2
DL,3,16,Green,DL-3-16,Tank_2,Low_pH,NONE,20240806,R2,TP3
DL,3,17,Green,DL-3-17,Tank_3,Low_pH,NONE,20240806,R1,TP3
DL,3,18,Green,DL-3-18,Tank_2,Low_pH,High_Temp,20240815,R1,TP4
DL,3,19,Green,DL-3-19,Tank_4,Control,High_Temp,20240815,R2,TP4
DL,3,20,Green,DL-3-20,Tank_7,High_Temp,NONE,20240806,R1,TP3
DL,3,21,Green,DL-3-21,Acclimation,Acclimation,NONE,20240709,R1,TP1
DL,3,22,Green,DL-3-22,Tank_6,High_Temp,High_Temp,20240815,R1,TP4
DL,3,23,Green,DL-3-23,Acclimation,Acclimation,NONE,20240709,R2,TP1
DL,3,24,Green,DL-3-24,Tank_5,Control,Control,20240815,R2,TP4
DL,3,25,Green,DL-3-25,Tank_2,Low_pH,NONE,20240723,R2,TP2
DL,3,26,Green,DL-3-26,Tank_6,High_Temp,NONE,20240723,R1,TP2
NA,4,NA,NA,DL-4,NA,NA,NONE,20240620,NA,TP0
DL,4,1,Red,DL-4-1,Tank_4,Control,High_Temp,20240815,R1,TP4
DL,4,2,Red,DL-4-2,Tank_4,Control,High_Temp,20240815,R2,TP4
DL,4,3,Red,DL-4-3,Tank_5,Control,Control,20240815,R1,TP4
DL,4,4,Red,DL-4-4,Tank_5,Control,NONE,20240723,R2,TP2
DL,4,5,Red,DL-4-5,Tank_7,High_Temp,NONE,20240806,R1,TP3
DL,4,6,Red,DL-4-6,Acclimation,Acclimation,NONE,20240709,R1,TP1
DL,4,7,Red,DL-4-7,Tank_4,Control,NONE,20240723,R1,TP2
DL,4,8,Red,DL-4-8,Acclimation,Acclimation,NONE,20240709,R2,TP1
DL,4,9,Red,DL-4-9,Tank_6,High_Temp,High_Temp,20240815,R1,TP4
DL,4,10,Red,DL-4-10,Tank_2,Low_pH,NONE,20240806,R2,TP3
DL,4,11,Red,DL-4-11,Tank_3,Low_pH,NONE,20240806,R1,TP3
DL,4,12,Red,DL-4-12,Tank_3,Low_pH,Control,20240815,R2,TP4
DL,4,13,Red,DL-4-13,Tank_6,High_Temp,NONE,20240723,R1,TP2
DL,4,14,Red,DL-4-14,Tank_3,Low_pH,NONE,20240723,R1,TP2
DL,4,15,Red,DL-4-15,Tank_6,High_Temp,High_Temp,20240815,R2,TP4
DL,4,16,Red,DL-4-16,Tank_7,High_Temp,NONE,20240723,R2,TP2
DL,4,17,Red,DL-4-17,Tank_2,Low_pH,High_Temp,20240815,R2,TP4
DL,4,18,Red,DL-4-18,Tank_4,Control,NONE,20240806,R1,TP3
DL,4,19,Red,DL-4-19,Tank_7,High_Temp,Control,20240815,R2,TP4
DL,4,20,Red,DL-4-20,Tank_6,High_Temp,NONE,20240806,R2,TP3
DL,4,21,Red,DL-4-21,Tank_5,Control,NONE,20240806,R2,TP3
DL,4,22,Red,DL-4-22,Tank_3,Low_pH,Control,20240815,R1,TP4
DL,4,23,Red,DL-4-23,Tank_5,Control,Control,20240815,R2,TP4
DL,4,24,Red,DL-4-24,Tank_2,Low_pH,High_Temp,20240815,R1,TP4
DL,4,25,Red,DL-4-25,Tank_7,High_Temp,Control,20240815,R1,TP4
DL,4,26,Red,DL-4-26,Tank_2,Low_pH,NONE,20240723,R2,TP2
